"Município",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF"
"BARREIRAS",0,0,0,0,0,0,0,0,0,15,157638,"BA"
"BARRO",0,0,0,0,0,0,0,0,0,5,22440,"CE"
"BARROLANDIA",0,0,0,0,0,0,0,0,0,20,5643,"TO"
"BARROQUINHA",0,0,0,0,0,0,0,0,0,5,14880,"CE"
"BATURITE",0,0,0,0,0,0,0,0,0,5,35351,"CE"
"BEBERIBE",0,0,0,0,0,0,0,0,0,4,53110,"CE"
"BELA CRUZ",0,0,0,0,0,0,0,0,0,5,32378,"CE"
"BELEM",0,0,0,0,0,0,0,0,0,58,1452275,"PA"
"BELO HORIZONTE",0,0,0,0,0,0,0,0,0,1,2523794,"MG"
"BELO ORIENTE",0,0,0,0,0,0,0,0,0,13,26158,"MG"
"BELO VALE",0,0,0,0,0,0,0,0,0,6,7841,"MG"
"BENEVIDES",0,0,0,0,0,0,0,0,0,1,60990,"PA"
"BENJAMIN CONSTANT DO SUL",0,0,0,0,0,0,0,0,0,1,2227,"RS"
"BETIM",0,0,0,0,0,0,0,0,0,3,427146,"MG"
"BIGUACU",0,0,0,0,0,0,0,0,0,3,66558,"SC"
"BOA ESPERANCA",0,0,0,0,0,0,0,0,0,3,40530,"MG"
"BOA VIAGEM",0,0,0,0,0,0,0,0,0,5,54049,"CE"
"BOA VISTA",0,0,0,0,0,0,0,0,0,5,332020,"RR"
"BOA VISTA DO CADEADO",0,0,0,0,0,0,0,0,0,2,2526,"RS"
"BOCAIUVA",0,0,0,0,0,0,0,0,0,1,50168,"MG"
"BODO",0,0,0,0,0,0,0,0,0,42,2307,"RN"
"BOM JESUS",0,0,0,0,0,0,0,0,0,3,24711,"PI"
"BOMBINHAS",0,0,0,0,0,0,0,0,0,1,18623,"SC"
"BONFIM",0,0,0,0,0,0,0,0,0,4,11945,"RR"
"BOQUEIRAO",0,0,0,0,0,0,0,0,0,3,17842,"PB"
"BOQUIM",0,0,0,0,0,0,0,0,0,1,26961,"SE"
"BRACO DO NORTE",0,0,0,0,0,0,0,0,0,1,32648,"SC"
"BRAZLANDIA",0,0,0,0,0,0,0,0,0,4,,
"BREJO",0,0,0,0,0,0,0,0,0,5,36102,"MA"
"BREJO SANTO",0,0,0,0,0,0,0,0,0,2,48830,"CE"
"BRUMADINHO",0,0,0,0,0,0,0,0,0,3,38863,"MG"
"BUENO BRANDAO",0,0,0,0,0,0,0,0,0,6,11233,"MG"
"BURITI DOS LOPES",0,0,0,0,0,0,0,0,0,2,19464,"PI"
"CAAPORA",0,0,0,0,0,0,0,0,0,3,21872,"PB"
"CABECEIRAS",0,0,0,0,0,0,0,0,0,1,7935,"GO"
"CACERES",0,0,0,0,0,0,0,0,0,3,91271,"MT"
"CACHOEIRA DOURADA",0,0,0,0,0,0,0,0,0,1,2691,"MG"
"CAETE",0,0,0,0,0,0,0,0,0,2,44377,"MG"
"CAIAPONIA",0,0,0,0,0,0,0,0,0,7,18505,"GO"
"CAICO",0,0,0,0,0,0,0,0,0,81,68222,"RN"
"CAJAPIO",0,0,0,0,0,0,0,0,0,1,11019,"MA"
"CAJARI",0,0,0,0,0,0,0,0,0,2,19110,"MA"
"CAJOBI",0,0,0,0,0,0,0,0,0,4,10444,"SP"
"CAJUEIRO DA PRAIA",0,0,0,0,0,0,0,0,0,2,7510,"PI"
"CAMAQUA",0,0,0,0,0,0,0,0,0,3,66215,"RS"
"CAMOCIM",0,0,0,0,0,0,0,0,0,4,62985,"CE"
"CAMPO LARGO DO PIAUI",0,0,0,0,0,0,0,0,0,4,7154,"PI"
"CAMPO NOVO DO PARECIS",0,0,0,0,0,0,0,0,0,4,33551,"MT"
"CAMPO REDONDO",0,0,0,0,0,0,0,0,0,101,11244,"RN"
"CAMPO VERDE",0,0,0,0,0,0,0,0,0,2,39933,"MT"
"CAMPOS BORGES",0,0,0,0,0,0,0,0,0,3,3514,"RS"
"CAMPOS DE JULIO",0,0,0,0,0,0,0,0,0,4,6512,"MT"
"CAMPOS LINDOS",0,0,0,0,0,0,0,0,0,4,9795,"TO"
"CAMPOS SALES",0,0,0,0,0,0,0,0,0,2,27209,"CE"
"CANARANA",0,0,0,0,0,0,0,0,0,6,26862,"BA"
"CANDIOTA",0,0,0,0,0,0,0,0,0,3,9406,"RS"
"CANGUARETAMA",0,0,0,0,0,0,0,0,0,37,34267,"RN"
"CANGUCU",0,0,0,0,0,0,0,0,0,3,56103,"RS"
"CANINDE",0,0,0,0,0,0,0,0,0,5,77514,"CE"
"CANTA",0,0,0,0,0,0,0,0,0,1,16877,"RR"
