"Município",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF"
"JAGUARUANA",0,0,0,0,0,0,0,0,0,6,33740,"CE"
"JAGUARUNA",0,0,0,0,0,0,0,0,0,9,19527,"SC"
"JAICOS",0,0,0,0,0,0,0,0,0,4,18782,"PI"
"JANAUBA",0,0,0,0,0,0,0,0,0,1,71653,"MG"
"JAPARATUBA",0,0,0,0,0,0,0,0,0,3,18656,"SE"
"JAPOATA",0,0,0,0,0,0,0,0,0,2,13238,"SE"
"JARDIM",0,0,0,0,0,0,0,0,0,4,27076,"CE"
"JARDIM DE ANGICOS",0,0,0,0,0,0,0,0,0,47,2663,"RN"
"JARDIM DO SERIDO",0,0,0,0,0,0,0,0,0,39,12579,"RN"
"JATAI",0,0,0,0,0,0,0,0,0,11,98128,"GO"
"JATI",0,0,0,0,0,0,0,0,0,5,7847,"CE"
"JERUMENHA",0,0,0,0,0,0,0,0,0,4,4384,"PI"
"JIJOCA DE JERICOACOARA",0,0,0,0,0,0,0,0,0,5,19510,"CE"
"JOAO CAMARA",0,0,0,0,0,0,0,0,0,4,35087,"RN"
"JOAO PESSOA",0,0,0,0,0,0,0,0,0,3,811598,"PB"
"JOAO PINHEIRO",0,0,0,0,0,0,0,0,0,1,48751,"MG"
"JOSE DE FREITAS",0,0,0,0,0,0,0,0,0,4,38550,"PI"
"JUAZEIRO",0,0,0,0,0,0,0,0,0,6,221773,"BA"
"JUAZEIRO DO NORTE",0,0,0,0,0,0,0,0,0,3,270383,"CE"
"JUCAS",0,0,0,0,0,0,0,0,0,4,24597,"CE"
"JUINA",0,0,0,0,0,0,0,0,0,3,39779,"MT"
"JUIZ DE FORA",0,0,0,0,0,0,0,0,0,1,563769,"MG"
"JULIO DE CASTILHOS",0,0,0,0,0,0,0,0,0,7,20012,"RS"
"JUNDIA",0,0,0,0,0,0,0,0,0,31,3910,"RN"
"JURU",0,0,0,0,0,0,0,0,0,3,9868,"PB"
"LAGARTO",0,0,0,0,0,0,0,0,0,2,104099,"SE"
"LAGES",0,0,0,0,0,0,0,0,0,3,158508,"SC"
"LAGOA ALEGRE",0,0,0,0,0,0,0,0,0,2,8395,"PI"
"LAGOA DA CONFUSAO",0,0,0,0,0,0,0,0,0,6,12808,"TO"
"LAGOA DO BARRO DO PIAUI",0,0,0,0,0,0,0,0,0,1,4582,"PI"
"LAGOA DOS TRES CANTOS",0,0,0,0,0,0,0,0,0,2,1650,"RS"
"LAGOA NOVA",0,0,0,0,0,0,0,0,0,10,15590,"RN"
"LAGOA SANTA",0,0,0,0,0,0,0,0,0,3,61752,"MG"
"LAJEADO",0,0,0,0,0,0,0,0,0,2,3092,"TO"
"LAJES PINTADAS",0,0,0,0,0,0,0,0,0,110,4822,"RN"
"LARANJEIRAS",0,0,0,0,0,0,0,0,0,2,29700,"SE"
"LAVRAS DA MANGABEIRA",0,0,0,0,0,0,0,0,0,4,31335,"CE"
"LAVRAS DO SUL",0,0,0,0,0,0,0,0,0,1,7807,"RS"
"LEOBERTO LEAL",0,0,0,0,0,0,0,0,0,3,3140,"SC"
"LEOPOLDINA",0,0,0,0,0,0,0,0,0,2,53354,"MG"
"LIMOEIRO DO NORTE",0,0,0,0,0,0,0,0,0,5,58915,"CE"
"LINHARES",0,0,0,0,0,0,0,0,0,4,169048,"ES"
"LONTRAS",0,0,0,0,0,0,0,0,0,1,11774,"SC"
"LUCAS DO RIO VERDE",0,0,0,0,0,0,0,0,0,6,61515,"MT"
"LUIS CORREIA",0,0,0,0,0,0,0,0,0,2,29792,"PI"
"LUIS EDUARDO MAGALHAES",0,0,0,0,0,0,0,0,0,4,83557,"BA"
"LUZIANIA",0,0,0,0,0,0,0,0,0,1,199615,"GO"
"MACAIBA",0,0,0,0,0,0,0,0,0,275,80031,"RN"
"MACEIO",0,0,0,0,0,0,0,0,0,40,1029129,"AL"
"MACHACALIS",0,0,0,0,0,0,0,0,0,37,7237,"MG"
"MADALENA",0,0,0,0,0,0,0,0,0,5,19800,"CE"
"MAGDA",0,0,0,0,0,0,0,1,1,1,3185,"SP"
"MAIRIPORA",0,0,0,0,0,0,0,0,0,162,95601,"SP"
"MAJOR GERCINO",0,0,0,0,0,0,0,0,0,1,3429,"SC"
"MALLET",0,0,0,0,0,0,0,0,0,14,13738,"PR"
"MAMPITUBA",0,0,0,0,0,0,0,0,0,4,3079,"RS"
"MANAUS",0,0,0,0,0,0,0,0,0,220,2130264,"AM"
"MANCIO LIMA",0,0,0,0,0,0,0,0,0,1,17910,"AC"
"MANHUACU",0,0,0,0,0,0,0,0,0,2,88580,"MG"
"MAQUINE",0,0,0,0,0,0,0,0,0,6,7016,"RS"
"MARACANAU",0,0,0,0,0,0,0,0,0,4,224804,"CE"
"MARANGUAPE",0,0,0,0,0,0,0,0,0,4,126486,"CE"
"MARATAIZES",0,0,0,0,0,0,0,0,0,2,38670,"ES"
"MARAVILHA",0,0,0,0,0,0,0,0,0,3,9418,"AL"
"MARCO",0,0,0,0,0,0,0,0,0,4,26981,"CE"
"MARIANA",0,0,0,0,0,0,0,0,0,13,59857,"MG"
"MARIBONDO",0,0,0,0,0,0,0,0,0,1,13514,"AL"
"MARINGA",0,0,0,0,0,0,1,0,1,54,406693,"PR"
"MARITUBA",0,0,0,0,0,0,0,0,0,2,127858,"PA"
"MARTINOPOLE",0,0,0,0,0,0,0,0,0,4,11082,"CE"
"MARTINS SOARES",0,0,0,0,0,0,0,0,0,1,8172,"MG"
"MASSAPE",0,0,0,0,0,0,0,0,0,4,38210,"CE"
"MASSARANDUBA",0,0,0,0,0,0,0,0,0,4,13853,"PB"
"MATOES",0,0,0,0,0,0,0,0,0,7,33374,"MA"
"MAUA",0,0,0,0,0,0,0,0,0,6,462005,"SP"
"MAURITI",0,0,0,0,0,0,0,0,0,5,46548,"CE"
"MAXARANGUAPE",0,0,0,0,0,0,0,0,0,34,12223,"RN"
"MELEIRO",0,0,0,0,0,0,0,0,0,10,7047,"SC"
"MERUOCA",0,0,0,0,0,0,0,0,0,3,14948,"CE"
"MIGUEL ALVES",0,0,0,0,0,0,0,0,0,3,33209,"PI"
"MILAGRES",0,0,0,0,0,0,0,0,0,5,28231,"CE"
"MILHA",0,0,0,0,0,0,0,0,0,3,13136,"CE"
"MINEIROS",0,0,0,0,0,0,0,0,0,7,62750,"GO"
"MIRACEMA DO TOCANTINS",0,0,0,0,0,0,0,0,0,57,19055,"TO"
"MIRAIMA",0,0,0,0,0,0,0,0,0,4,13583,"CE"
"MIRANORTE",0,0,0,0,0,0,0,0,0,15,13426,"TO"
"MIRIM DOCE",0,0,0,0,0,0,0,0,0,1,2374,"SC"
"MISSAO VELHA",0,0,0,0,0,0,0,0,0,4,35409,"CE"
"MOEDA",0,0,0,0,0,0,0,0,0,1,4957,"MG"
"MOMBACA",0,0,0,0,0,0,0,0,0,4,43735,"CE"
"MONCAO",0,0,0,0,0,0,0,0,0,1,33156,"MA"
"MONDAI",0,0,0,0,0,0,0,0,0,1,11496,"SC"
"MONSENHOR TABOSA",0,0,0,0,0,0,0,0,0,3,17038,"CE"
"MONTANHAS",0,0,0,0,0,0,0,0,0,36,11503,"RN"
"MONTE ALEGRE DE MINAS",0,0,0,0,0,0,0,0,0,3,21095,"MG"
"MONTE AZUL PAULISTA",0,0,0,0,0,0,0,0,0,7,19234,"SP"
"MONTE DO CARMO",0,0,0,0,0,0,0,0,0,3,7770,"TO"
"MONTES CLAROS",0,0,0,0,0,0,0,0,0,2,402027,"MG"
"MONTIVIDIU",0,0,0,0,0,0,0,0,0,7,12566,"GO"
"MORADA NOVA",0,0,0,0,0,0,0,0,0,5,61548,"CE"
"MORAUJO",0,0,0,0,0,0,0,0,0,4,8636,"CE"
"MORMACO",0,0,0,0,0,0,0,0,0,2,2986,"RS"
"MORRINHOS",0,0,0,0,0,0,0,0,0,7,22222,"CE"
"MOSSORO",0,0,0,0,0,0,0,0,0,1,295619,"RN"
"MUCAMBO",0,0,0,0,0,0,0,0,0,3,14377,"CE"
"MUCUGE",0,0,0,0,0,0,0,0,0,3,9957,"BA"
"MUITOS CAPOES",0,0,0,0,0,0,0,0,0,3,3156,"RS"
"MULUNGU",0,0,0,0,0,0,0,0,0,4,12831,"CE"
"NATAL",0,0,0,0,0,0,0,0,0,1,885180,"RN"
"NATIVIDADE",0,0,0,0,0,0,0,0,0,20,9312,"TO"
"NAZARE DO PIAUI",0,0,0,0,0,0,0,0,0,2,7231,"PI"
"NEOPOLIS",0,0,0,0,0,0,0,0,0,1,18953,"SE"
"NICOLAU VERGUEIRO",0,0,0,0,0,0,0,0,0,2,1752,"RS"
"NISIA FLORESTA",0,0,0,0,0,0,0,0,0,1,27372,"RN"
"NORMANDIA",0,0,0,0,0,0,0,0,0,3,10527,"RR"
"NOSSA SENHORA DO LIVRAMENTO",0,0,0,0,0,0,0,0,0,1,12484,"MT"
"NOVA CANAA DO NORTE",0,0,0,0,0,0,0,0,0,3,12388,"MT"
"NOVA CRUZ",0,0,0,0,0,0,0,0,0,5,37695,"RN"
"NOVA FRIBURGO",0,0,0,0,2,0,0,0,2,16,185381,"RJ"
"NOVA GLORIA",0,0,0,0,0,0,0,0,0,1,8521,"GO"
"NOVA LIMA",0,0,0,0,0,0,0,0,0,2,92178,"MG"
"NOVA MUTUM",0,0,0,0,0,0,0,0,0,6,42607,"MT"
"NOVA OLIMPIA",0,0,0,0,0,0,0,0,0,2,5829,"PR"
"NOVA OLINDA",0,0,0,0,0,0,0,0,0,4,11715,"TO"
"NOVA PALMA",0,0,0,0,0,0,0,0,0,5,6605,"RS"
"NOVA PETROPOLIS",0,0,0,0,0,0,0,0,0,4,20675,"RS"
"NOVA PONTE",0,0,0,0,0,0,0,0,0,35,14934,"MG"
"NOVA RUSSAS",0,0,0,0,0,0,0,0,0,4,32035,"CE"
"NOVA TRENTO",0,0,0,0,0,0,0,0,0,2,14099,"SC"
"NOVA UBIRATA",0,0,0,0,0,0,0,0,0,2,11352,"MT"
"NOVO AIRAO",0,0,0,0,0,0,0,0,0,2,18586,"AM"
"NOVO ALEGRE",0,0,0,0,0,0,0,0,0,8,2353,"TO"
"NOVO HAMBURGO",0,0,0,0,0,0,0,0,0,3,249508,"RS"
"NOVO MUNDO",0,0,0,0,0,0,0,0,0,3,8730,"MT"
"NOVO ORIENTE",0,0,0,0,0,0,0,0,0,3,28353,"CE"
"OCARA",0,0,0,0,0,0,0,0,0,4,25394,"CE"
"OROS",0,0,0,0,0,0,0,0,0,5,21292,"CE"
"OURO BRANCO",0,0,0,0,0,0,0,0,0,2,4882,"RN"
"OURO PRETO",0,0,0,0,0,0,0,0,0,1,74659,"MG"
"PACAJUS",0,0,0,0,0,0,0,0,0,5,70911,"CE"
"PACARAIMA",0,0,0,0,0,0,0,0,0,4,12375,"RR"
"PACATUBA",0,0,0,0,0,0,0,0,0,4,82824,"CE"
"PACOTI",0,0,0,0,0,0,0,0,0,5,11960,"CE"
"PACUJA",0,0,0,0,0,0,0,0,0,5,6202,"CE"
"PADRE MARCOS",0,0,0,0,0,0,0,0,0,3,6758,"PI"
"PALHANO",0,0,0,0,0,0,0,0,0,5,9285,"CE"
"PALHOCA",0,0,0,0,0,0,0,0,0,3,164926,"SC"
"PALMACIA",0,0,0,0,0,0,0,0,0,4,13145,"CE"
"PALMARES DO SUL",0,0,0,0,0,0,0,0,0,3,11449,"RS"
"PALMAS",0,0,0,0,0,0,0,0,0,40,286787,"TO"
"PALMEIRA DOS INDIOS",0,0,0,0,0,0,0,0,0,3,74208,"AL"
"PAPANDUVA",0,0,0,0,0,0,0,0,0,3,19015,"SC"
"PARA DE MINAS",0,0,0,0,0,0,0,0,0,1,92739,"MG"
"PARACATU",0,0,0,0,0,0,0,0,0,6,92386,"MG"
"PARACURU",0,0,0,0,0,0,0,0,0,5,33894,"CE"
"PARAIBANO",0,0,0,0,0,0,0,0,0,5,21116,"MA"
"PARAIPABA",0,0,0,0,0,0,0,0,0,4,32515,"CE"
"PARAISO DO SUL",0,0,0,0,0,0,0,0,0,5,7677,"RS"
"PARAISO DO TOCANTINS",0,0,0,0,0,0,0,0,0,68,50360,"TO"
"PARAMBU",0,0,0,0,0,0,0,0,0,4,31137,"CE"
"PARAMOTI",0,0,0,0,0,0,0,0,0,5,11578,"CE"
"PARANATINGA",0,0,0,0,0,0,0,0,0,2,21612,"MT"
"PARANOA",0,0,0,0,0,0,0,0,0,2,,
"PARAUNA",0,0,0,0,0,0,0,0,0,1,11221,"GO"
"PARAZINHO",0,0,0,0,0,0,0,0,0,340,5258,"RN"
"PARELHAS",0,0,0,0,0,0,0,0,0,28,21669,"RN"
"PARK WAY",0,0,0,0,0,0,0,0,0,2,,
"PARNAMIRIM",0,0,0,0,0,0,0,0,0,116,254709,"RN"
"PASSAGEM",0,0,0,0,0,0,0,0,0,12,3109,"RN"
"PASSOS",0,0,0,0,0,0,0,0,0,1,114458,"MG"
"PASTOS BONS",0,0,0,0,0,0,0,0,0,13,19271,"MA"
"PATOS DO PIAUI",0,0,0,0,0,0,0,0,0,4,6288,"PI"
"PAULISTANA",0,0,0,0,0,0,0,0,0,8,20192,"PI"
"PAULO BENTO",0,0,0,0,0,0,0,0,0,1,2308,"RS"
"PAULO LOPES",0,0,0,0,0,0,0,0,0,1,7360,"SC"
"PEDRA BRANCA",0,0,0,0,0,0,0,0,0,5,42841,"CE"
"PEDRA GRANDE",0,0,0,0,0,0,0,0,0,17,3356,"RN"
"PEDRA PRETA",0,0,0,0,0,0,0,0,0,2,2532,"RN"
"PEDRAS GRANDES",0,0,0,0,0,0,0,0,0,2,4026,"SC"
"PEDREIRAS",0,0,0,0,0,0,0,0,0,6,38365,"MA"
"PEDRO AFONSO",0,0,0,0,0,0,0,0,0,6,13288,"TO"
"PEDRO LEOPOLDO",0,0,0,0,0,0,0,0,0,1,63837,"MG"
"PEIXE",0,0,0,0,0,0,0,0,0,5,11591,"TO"
"PEJUCARA",0,0,0,0,0,0,0,0,0,1,4043,"RS"
"PENAFORTE",0,0,0,0,0,0,0,0,0,5,8956,"CE"
"PENHA",0,0,0,0,0,0,0,0,0,3,31025,"SC"
"PENTECOSTE",0,0,0,0,0,0,0,0,0,4,37077,"CE"
"PEREIRO",0,0,0,0,0,0,0,0,0,4,16163,"CE"
"PERIQUITO",0,0,0,0,0,0,0,0,0,28,7060,"MG"
"PEROLANDIA",0,0,0,0,0,0,0,0,0,6,3135,"GO"
"PESCARIA BRAVA",0,0,0,0,0,0,0,0,0,2,9980,"SC"
"PETROLANDIA",0,0,0,0,0,0,0,0,0,1,36108,"PE"
"PETROPOLIS",0,0,0,0,0,0,0,0,0,18,298235,"RJ"
"PICOS",0,0,0,0,0,0,0,0,0,2,76928,"PI"
"PINDORETAMA",0,0,0,0,0,0,0,0,0,5,20644,"CE"
"PINHAIS",0,0,0,0,0,0,0,0,0,5,129445,"PR"
"PINHAL GRANDE",0,0,0,0,0,0,0,0,0,3,4544,"RS"
"PINHALZINHO",0,0,0,0,0,0,0,0,0,1,14763,"SP"
"PINHEIROS",0,0,0,0,0,0,0,0,0,2,27130,"ES"
"PIQUET CARNEIRO",0,0,0,0,0,0,0,0,0,4,16731,"CE"
"PIRES FERREIRA",0,0,0,0,0,0,0,0,0,4,10784,"CE"
"PIRIPIRI",0,0,0,0,0,0,0,0,0,4,62733,"PI"
"PIRPIRITUBA",0,0,0,0,0,0,0,0,0,2,10585,"PB"
"PLACIDO DE CASTRO",0,0,0,0,0,0,0,0,0,2,18510,"AC"
"PLANALTINA",0,0,0,0,0,0,0,0,0,1,88863,"GO"
"POCO BRANCO",0,0,0,0,0,0,0,0,0,11,15418,"RN"
"POMBOS",0,0,0,0,0,0,0,0,0,2,26960,"PE"
"POMERODE",0,0,0,0,0,0,0,0,0,3,32334,"SC"
"POMPEU",0,0,0,0,0,0,0,0,0,1,31612,"MG"
"PONTA PORA",0,0,0,0,0,0,0,0,0,13,89592,"MS"
"PONTES E LACERDA",0,0,0,0,0,0,0,0,0,3,43832,"MT"
"PORANGA",0,0,0,0,0,0,0,0,0,2,12243,"CE"
"PORCIUNCULA",0,0,0,0,0,0,0,0,0,2,18248,"RJ"
"PORTEIRAS",0,0,0,0,0,0,0,0,0,5,14921,"CE"
"PORTEIRINHA",0,0,0,0,0,0,0,0,0,1,38741,"MG"
"PORTO BELO",0,0,0,0,0,0,0,0,0,1,20294,"SC"
"PORTO DOS GAUCHOS",0,0,0,0,0,0,0,0,0,3,5283,"MT"
"PORTO FRANCO",0,0,0,0,0,0,0,0,0,8,23760,"MA"
"PORTO NACIONAL",0,0,0,0,0,0,0,0,0,102,52828,"TO"
"POTENGI",0,0,0,0,0,0,0,0,0,4,10918,"CE"
"POTIRETAMA",0,0,0,0,0,0,0,0,0,1,6356,"CE"
"POUSO REDONDO",0,0,0,0,0,0,0,0,0,1,16957,"SC"
"POXOREO",0,0,0,0,0,0,0,0,0,2,,
"PRESIDENTE DUTRA",0,0,0,0,0,0,0,0,0,11,47239,"MA"
"PRESIDENTE KENNEDY",0,0,0,0,0,0,0,0,0,3,3733,"TO"
"PRESIDENTE NEREU",0,0,0,0,0,0,0,0,0,1,2304,"SC"
"PRIMAVERA DO LESTE",0,0,0,0,0,0,0,0,0,6,59293,"MT"
"PRIMEIRA CRUZ",0,0,0,0,0,0,0,0,0,6,15207,"MA"
"PROGRESSO",0,0,0,0,0,0,0,0,0,2,6379,"RS"
"PROPRIA",0,0,0,0,0,0,0,0,0,1,29834,"SE"
"PRUDENTOPOLIS",0,0,0,0,0,0,0,0,0,10,52125,"PR"
"PUREZA",0,0,0,0,0,0,0,0,0,17,9568,"RN"
"QUARAI",0,0,0,0,0,0,0,0,0,2,23532,"RS"
"QUERENCIA",0,0,0,0,0,0,0,0,0,2,16512,"MT"
"QUIRINOPOLIS",0,0,0,0,0,0,0,0,0,9,48508,"GO"
"QUITERIANOPOLIS",0,0,0,0,0,0,0,0,0,3,20860,"CE"
"QUIXADA",0,0,0,0,0,0,0,0,0,1,86605,"CE"
"QUIXELO",0,0,0,0,0,0,0,0,0,3,14860,"CE"
"QUIXERAMOBIM",0,0,0,0,0,0,0,0,0,2,78658,"CE"
"QUIXERE",0,0,0,0,0,0,0,0,0,4,21876,"CE"
"RANCHO QUEIMADO",0,0,0,0,0,0,0,0,0,2,2871,"SC"
"REDENCAO",0,0,0,0,0,0,0,0,0,4,82464,"PA"
"RELVADO",0,0,0,0,0,0,0,0,0,2,2187,"RS"
"RERIUTABA",0,0,0,0,0,0,0,0,0,4,18769,"CE"
"RESPLENDOR",0,0,0,0,0,0,0,0,0,3,17715,"MG"
"RESSAQUINHA",0,0,0,0,0,0,0,0,0,1,4861,"MG"
"RIACHAO",0,0,0,0,0,0,0,0,0,3,19701,"MA"
"RIACHAO DAS NEVES",0,0,0,0,0,0,0,0,0,4,23313,"BA"
"RIACHO DOS MACHADOS",0,0,0,0,0,0,0,0,0,2,9672,"MG"
"RIBEIRAO DAS NEVES",0,0,0,0,0,0,0,0,0,2,328871,"MG"
"RIBEIRAOZINHO",0,0,0,0,0,0,0,0,0,4,2320,"MT"
"RIBEIRO GONCALVES",0,0,0,0,0,0,0,0,0,3,7214,"PI"
"RIO AZUL",0,0,0,0,0,0,0,0,0,11,15125,"PR"
"RIO DO CAMPO",0,0,0,0,0,0,0,0,0,2,6043,"SC"
"RIO DO OESTE",0,0,0,0,0,0,0,0,0,4,7463,"SC"
"RIO DO SUL",0,0,0,0,0,0,0,0,0,1,69188,"SC"
"RIO GRANDE",0,0,0,0,0,0,0,0,0,4,209378,"RS"
"RIO NEGRINHO",0,0,0,0,0,0,0,0,0,6,42029,"SC"
"RIO PARDO",0,0,0,0,0,0,0,0,0,3,39000,"RS"
"RIO SONO",0,0,0,0,0,0,0,0,0,19,6512,"TO"
"RODRIGUES ALVES",0,0,0,0,0,0,0,0,0,1,17945,"AC"
"ROLANTE",0,0,0,0,0,0,0,0,0,1,20920,"RS"
"RONDONOPOLIS",0,0,0,0,0,0,0,0,0,4,222316,"MT"
"RORAINOPOLIS",0,0,0,0,0,0,0,0,0,5,28215,"RR"
"ROSARIO DO SUL",0,0,0,0,0,0,0,0,0,2,40727,"RS"
"ROSARIO OESTE",0,0,0,0,0,0,0,0,0,2,16908,"MT"
"RUSSAS",0,0,0,0,0,0,0,0,0,6,76475,"CE"
"SABARA",0,0,0,0,0,0,0,0,0,2,135968,"MG"
"SABOEIRO",0,0,0,0,0,0,0,0,0,3,15678,"CE"
"SALETE",0,0,0,0,0,0,0,0,0,1,7634,"SC"
"SALINAS",0,0,0,0,0,0,0,0,0,1,41678,"MG"
"SALITRE",0,0,0,0,0,0,0,0,0,3,16331,"CE"
"SANANDUVA",0,0,0,0,0,0,0,0,0,4,16237,"RS"
"SANGAO",0,0,0,0,0,0,0,0,0,2,12233,"SC"
"SANT'ANA DO LIVRAMENTO",0,0,0,0,0,0,0,0,0,6,82312,"RS"
"SANTA BARBARA DO PARA",0,0,0,0,0,0,0,0,0,2,20492,"PA"
"SANTA BARBARA DO TUGURIO",0,0,0,0,0,0,0,0,0,1,4590,"MG"
"SANTA CARMEM",0,0,0,0,0,0,0,0,0,3,4360,"MT"
"SANTA CRUZ",0,0,0,0,0,0,0,0,0,227,39667,"RN"
"SANTA HELENA DE GOIAS",0,0,0,0,0,0,0,0,0,4,38743,"GO"
"SANTA LUZIA",0,0,0,0,0,0,0,0,0,2,71576,"MA"
"SANTA MARGARIDA DO SUL",0,0,0,0,0,0,0,0,0,1,2519,"RS"
"SANTA MARIA",0,0,0,0,0,0,0,0,0,49,5500,"RN"
"SANTA MARIA DA SERRA",0,0,0,0,0,0,2,0,2,2,6021,"SP"
"SANTA MARIA DE JETIBA",0,0,0,0,0,0,0,0,0,2,39928,"ES"
"SANTA MARIA DO HERVAL",0,0,0,0,0,0,0,0,0,2,6358,"RS"
"SANTA QUITERIA",0,0,0,0,0,0,0,0,0,4,43360,"CE"
"SANTA RITA",0,0,0,0,0,0,0,0,0,7,37090,"MA"
"SANTA ROSA",0,0,0,0,0,0,0,0,0,5,72753,"RS"
"SANTA ROSA DE LIMA",0,0,0,0,0,0,0,0,0,1,3938,"SE"
"SANTA TERESA",0,0,0,0,0,0,0,0,0,2,24025,"ES"
"SANTA TEREZINHA",0,0,0,0,0,0,0,0,0,3,11734,"PE"
"SANTANA DO ACARAU",0,0,0,0,0,0,0,0,0,3,32023,"CE"
"SANTANA DO ARAGUAIA",0,0,0,0,0,0,0,0,0,3,70764,"PA"
"SANTANA DO CARIRI",0,0,0,0,0,0,0,0,0,4,17489,"CE"
"SANTANA DO GARAMBEU",0,2,0,0,0,0,0,0,2,2,2436,"MG"
"SANTANA DO RIACHO",0,0,0,0,0,0,0,0,0,1,4301,"MG"
"SANTANA DO SERIDO",0,0,0,0,0,0,0,0,0,42,2701,"RN"
"SANTIAGO DO SUL",0,0,0,0,0,0,2,0,2,4,1317,"SC"
"SANTO AMARO DA IMPERATRIZ",0,0,0,0,0,0,0,0,0,1,22609,"SC"
"SANTO ANGELO",0,0,0,0,0,0,0,0,0,4,79101,"RS"
"SANTO ANTONIO DAS MISSOES",0,0,0,0,0,0,0,0,0,2,11051,"RS"
"SANTO ANTONIO DE JESUS",0,0,0,0,0,0,0,0,0,2,103342,"BA"
"SANTO ANTONIO DO LEVERGER",0,0,0,0,0,0,0,0,0,3,18392,"MT"
"SANTO ANTONIO DO PLANALTO",1,0,0,0,0,0,0,0,1,1,2059,"RS"
"SANTO ANTONIO DO TAUA",0,0,0,0,0,0,0,0,0,12,30611,"PA"
"SAO BENEDITO",0,0,0,0,0,0,0,0,0,5,46648,"CE"
"SAO BENTO",0,0,0,0,0,0,0,0,0,1,46039,"MA"
"SAO BENTO DO TRAIRI",0,0,0,0,0,0,0,0,0,7,4425,"RN"
"SAO BORJA",0,0,0,0,0,0,0,0,0,5,62808,"RS"
"SAO DESIDERIO",0,0,0,0,0,0,0,0,0,8,33661,"BA"
"SAO DOMINGOS DO AZEITAO",0,0,0,0,0,0,0,0,0,1,7291,"MA"
"SAO DOMINGOS DO MARANHAO",0,0,0,0,0,0,0,0,0,7,33691,"MA"
"SAO FELIX DO ARAGUAIA",0,0,0,0,0,0,0,0,0,1,11290,"MT"
"SAO FRANCISCO DO SUL",0,0,0,0,0,0,0,0,0,5,50701,"SC"
"SAO GABRIEL DA CACHOEIRA",0,0,0,0,0,0,0,0,0,1,44553,"AM"
"SAO GABRIEL DO OESTE",0,0,0,0,0,0,0,0,0,19,25898,"MS"
"SAO GONCALO DO AMARANTE",0,0,0,0,0,0,0,0,0,5,48265,"CE"
"SAO GONCALO DO GURGUEIA",0,0,0,0,0,0,0,0,0,3,2988,"PI"
"SAO JOAO DA BALIZA",0,0,0,0,0,0,0,0,0,4,7740,"RR"
"SAO JOAO DA BARRA",0,0,0,0,0,0,0,0,0,3,35174,"RJ"
"SAO JOAO DA FRONTEIRA",0,0,0,0,0,0,0,0,0,4,5938,"PI"
"SAO JOAO DO CARIRI",0,0,0,0,0,0,0,0,0,5,4296,"PB"
"SAO JOAO DO JAGUARIBE",0,0,0,0,0,0,0,0,0,5,7621,"CE"
"SAO JOAO DO PIAUI",0,0,0,0,0,0,0,0,0,2,20258,"PI"
"SAO JOAO DO POLESINE",0,0,0,0,0,0,0,0,0,5,2646,"RS"
"SAO JOAO DO TRIUNFO",0,0,0,0,0,0,0,0,0,12,14927,"PR"
"SAO JOAQUIM",0,0,0,0,0,0,0,0,0,6,26646,"SC"
"SAO JOSE",0,0,0,0,0,0,0,0,0,1,239718,"SC"
"SAO JOSE DE MIPIBU",0,0,0,0,0,0,0,0,0,1,43995,"RN"
"SAO JOSE DE PIRANHAS",0,0,0,0,0,0,0,0,0,3,20163,"PB"
"SAO JOSE DO HORTENCIO",0,0,0,0,0,0,0,0,0,1,4543,"RS"
"SAO JOSE DO RIO CLARO",0,0,0,0,0,0,0,0,0,2,19728,"MT"
"SAO JULIAO",0,0,0,0,0,0,0,0,0,7,6261,"PI"
"SAO LOURENCO DO PIAUI",0,0,0,0,0,0,0,0,0,3,4501,"PI"
"SAO LOURENCO DO SUL",0,0,0,0,0,0,0,0,0,3,44580,"RS"
"SAO LUDGERO",0,0,0,0,0,0,0,0,0,1,12934,"SC"
"SAO LUIS",0,0,0,0,0,0,0,0,0,582,1091868,"MA"
"SAO LUIS DO CURU",0,0,0,0,0,0,0,0,0,4,12849,"CE"
"SAO LUIZ",0,0,0,0,0,0,0,0,0,3,7597,"RR"
"SAO MARCOS",0,0,0,0,0,0,0,0,0,1,21364,"RS"
"SAO MARTINHO",0,0,0,0,0,0,0,0,0,2,3210,"SC"
"SAO MATEUS",0,0,0,0,0,0,0,0,0,2,128449,"ES"
"SAO MATEUS DO SUL",0,0,0,0,0,0,0,0,0,17,45398,"PR"
"SAO PAULO",0,0,0,0,0,0,0,0,0,5272,12106920,"SP"
"SAO PAULO DO POTENGI",0,0,0,0,0,0,0,0,0,80,17572,"RN"
"SAO PEDRO DA AGUA BRANCA",0,0,0,0,0,0,0,0,0,8,12511,"MA"
"SAO RAIMUNDO DAS MANGABEIRAS",0,0,0,0,0,0,0,0,0,6,18680,"MA"
"SAO RAIMUNDO NONATO",0,0,0,0,0,0,0,0,0,8,34109,"PI"
"SAO SEPE",0,0,0,0,0,0,0,0,0,6,24403,"RS"
"SAO VALENTIM",0,0,0,0,0,0,0,0,0,1,3581,"RS"
"SAPE",0,0,0,0,0,0,0,0,0,3,52697,"PB"
"SAPEZAL",0,0,0,0,0,0,0,0,0,8,24305,"MT"
"SAUDE",0,0,0,0,0,0,0,0,0,1,13385,"BA"
