"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","UF","Population","How many different pesticides over or equal to the limit?"
"CAMPO MAGRO",0,8,0,8,8,0,0,0,7,8,7,0,8,0,0,0,8,0,8,0,1,8,0,8,0,0,8,"PR",28244,13
"CLEVELANDIA",0,2,0,2,2,0,0,1,2,2,2,0,1,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",17250,13
"CORUMBATAI DO SUL",0,2,0,2,1,0,1,0,2,2,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,1,"PR",3617,13
"FERNANDES PINHEIRO",0,19,0,14,20,0,0,0,14,20,20,0,16,0,1,0,20,0,21,0,0,19,0,20,0,0,20,"PR",5904,13
"FLORAI",0,4,0,4,4,1,0,0,4,4,4,0,3,0,0,0,4,0,3,0,0,4,0,4,0,0,4,"PR",5103,13
"GUARATUBA",0,2,0,2,2,0,0,0,2,2,2,0,2,0,0,0,2,1,2,0,0,2,0,2,0,0,2,"PR",35986,13
"HONORIO SERPA",0,4,0,4,3,0,1,0,4,4,4,0,4,0,0,0,4,0,4,0,0,4,0,4,0,0,4,"PR",5643,13
"LEOPOLIS",0,2,0,2,2,0,0,0,2,2,2,0,2,1,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",4131,13
"MALLET",0,14,0,7,13,0,0,0,7,13,13,0,11,0,0,0,12,0,13,0,0,13,0,13,1,0,13,"PR",13738,13
"PINHAO",0,5,0,4,4,0,0,0,4,5,5,0,5,0,0,0,4,0,4,0,0,4,0,4,1,0,4,"SE",6556,13
"PRANCHITA",0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,"PR",5477,13
"SALGADO FILHO",0,2,0,2,1,0,0,0,1,1,1,1,2,0,0,0,1,0,1,0,0,1,0,2,0,0,1,"PR",4003,13
"SAO JOSE DOS PINHAIS",0,4,0,4,4,0,0,0,4,4,4,0,4,0,0,0,4,0,4,0,0,4,0,4,1,0,4,"PR",307530,13
"SAO MIGUEL DO IGUACU",0,4,0,4,4,0,0,0,4,5,4,0,6,0,1,0,4,0,4,0,0,4,0,4,0,0,3,"PR",27461,13
"TUNEIRAS DO OESTE",0,1,0,1,4,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,3,0,1,0,0,3,"PR",8833,13
"UBIRATA",0,3,0,3,4,0,0,0,4,3,3,0,3,0,0,0,3,0,3,0,0,4,0,3,1,0,4,"PR",21762,13
"AGUDOS DO SUL",0,3,0,2,3,0,0,0,3,3,3,0,3,0,0,0,3,0,3,0,0,3,0,3,0,0,3,"PR",9161,12
"ARARUNA",0,4,0,4,4,0,0,0,5,3,4,0,4,0,0,0,4,0,4,0,0,4,0,5,0,0,4,"PB",20418,12
"BOM SUCESSO DO SUL",0,2,0,2,1,0,0,0,2,2,2,0,2,0,0,0,1,0,1,0,0,1,0,3,0,0,1,"PR",3358,12
"CAMPO DO TENENTE",0,6,0,6,6,0,0,0,6,6,6,0,6,0,0,0,6,0,6,0,0,6,0,5,0,0,6,"PR",7829,12
"CAMPO MOURAO",0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,"PR",94153,12
"CAPANEMA",0,3,0,1,3,0,0,0,1,3,3,0,1,0,0,0,3,0,3,0,0,3,0,3,0,0,1,"PA",67150,12
"CASCAVEL",0,4,0,4,4,0,0,0,4,4,4,0,4,0,0,0,4,0,4,0,0,4,0,5,0,0,4,"CE",71079,12
"CASEIROS",1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,"RS",3185,12
"CERRO AZUL",0,2,0,1,2,0,0,0,2,2,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",17885,12
"CRUZEIRO DO IGUACU",0,2,0,2,2,0,0,0,3,2,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",4369,12
"CURITIBA",0,6,0,4,6,0,0,0,4,6,6,0,4,0,0,0,7,0,7,0,0,6,0,6,0,0,6,"PR",1908359,12
"ESPERANCA NOVA",0,2,0,2,2,0,0,0,2,1,1,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",1852,12
"FOZ DO JORDAO",0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,"PR",5079,12
"FRANCISCO ALVES",0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,"PR",6350,12
"GOIOERE",0,5,0,5,5,0,0,0,5,5,5,0,5,0,0,0,5,0,5,0,0,5,0,5,0,0,5,"PR",29664,12
"IMBITUVA",0,12,0,3,11,0,0,0,3,13,13,0,3,0,0,0,13,0,12,0,0,11,0,13,0,0,13,"PR",31719,12
"ITABIRA",4,4,0,5,6,0,4,0,4,4,4,0,4,0,0,0,4,0,0,0,0,5,0,0,0,0,4,"MG",119285,12
"ITABIRITO",1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,"MG",50816,12
"IVAI",0,3,0,3,3,0,0,0,3,2,3,0,3,0,0,0,3,0,3,0,0,3,0,3,0,0,3,"PR",13797,12
"LARANJEIRAS DO SUL",0,2,0,1,1,0,0,0,1,2,2,0,2,0,0,0,1,0,1,0,0,1,0,2,0,0,1,"PR",32379,12
"LINDOESTE",0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,"PR",5071,12
"MANGUEIRINHA",0,3,0,1,3,0,0,0,1,3,4,0,1,0,0,0,3,0,4,0,0,5,0,2,0,0,3,"PR",17269,12
"MARIANA",2,2,0,2,2,0,2,0,2,2,2,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,2,"MG",59857,12
"MATELANDIA",0,2,0,2,2,0,0,0,2,3,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",17640,12
"MEDIANEIRA",0,2,0,1,2,0,0,0,2,2,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",45586,12
"MORRETES",0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,"PR",16540,12
"NOVA AMERICA DA COLINA",0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,"PR",3545,12
"PARANACITY",0,2,0,2,2,0,0,0,2,2,1,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",11265,12
"PEROLA",0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,"PR",11101,12
"PEROLA D'OESTE",0,2,0,2,2,0,0,0,2,2,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",6674,12
"QUITANDINHA",0,7,0,5,6,0,0,0,5,7,7,0,5,0,0,0,6,0,6,0,0,6,0,7,0,0,6,"PR",18733,12
"RAMILANDIA",0,2,0,2,2,0,0,0,2,2,2,0,2,0,0,0,2,0,1,0,0,2,0,3,0,0,1,"PR",4435,12
"RIO BONITO DO IGUACU",0,2,0,2,2,0,0,0,2,2,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",13552,12
"RIO NEGRO",0,20,0,9,20,0,0,0,8,20,20,0,12,0,0,0,20,0,20,0,0,20,0,20,0,0,19,"PR",33857,12
