"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","Population","UF","How many different pesticides over or equal to the limit?"
"CARACOL",1,2,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,2,1,2,0,1,2,10729,"PI",26
"CASTILHO",14,50,51,51,30,14,14,14,49,49,19,14,14,14,14,14,17,17,14,14,14,27,14,35,0,14,42,20362,"SP",26
"CHAPADAO DO CEU",2,8,11,8,7,6,6,5,7,7,6,5,6,5,5,4,7,5,6,6,5,7,5,7,0,5,8,9110,"GO",26
"CHAPADAO DO SUL",5,4,4,4,4,5,5,5,4,4,4,5,5,5,4,5,4,5,4,5,5,2,5,4,0,5,4,23940,"MS",26
"COROADOS",3,3,7,2,7,3,2,3,6,3,6,1,6,3,2,3,1,5,5,3,2,5,3,8,1,0,7,5885,"SP",26
"CORUMBATAI",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4054,"SP",26
"COSMORAMA",24,6,24,22,22,22,22,6,6,24,6,24,24,24,24,22,22,22,22,6,22,22,6,6,0,24,22,7374,"SP",26
"DIADEMA",3,6,6,6,6,1,1,2,6,6,3,2,7,2,2,2,6,1,2,2,1,6,1,2,0,1,6,417869,"SP",26
"DOURADOS",9,7,7,7,9,9,9,10,7,7,7,7,9,7,8,8,7,9,9,9,10,9,9,7,0,11,9,218069,"MS",26
"DRACENA",5,5,9,10,10,6,6,5,5,5,9,5,9,9,9,5,10,5,10,5,10,9,5,9,0,5,6,46324,"SP",26
"EMBU DAS ARTES",2,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,0,2,3,267054,"SP",26
"ESPIRITO SANTO DO PINHAL",1,9,13,9,13,1,1,1,12,8,9,1,13,1,1,1,3,7,5,1,1,13,1,13,0,1,13,44170,"SP",26
"FATIMA DO SUL",2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,0,2,2,19181,"MS",26
"FRAIBURGO",21,27,38,27,27,22,13,21,21,27,36,19,27,23,20,9,27,36,27,27,27,27,12,28,0,21,27,36261,"SC",26
"GOVERNADOR VALADARES",114,89,114,89,87,114,112,114,89,89,88,1,88,16,15,17,88,114,87,113,111,38,112,113,0,62,88,280901,"MG",26
"GUARAMIRIM",2,2,2,2,2,2,1,2,3,3,2,2,2,2,2,1,2,3,2,2,2,2,1,2,0,2,2,42872,"SC",26
"GUARANTA DO NORTE",5,4,4,4,4,4,1,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,1,5,0,4,4,34500,"MT",26
"HERVAL D'OESTE",6,8,8,8,6,6,4,6,8,8,6,5,6,6,6,6,6,6,6,6,6,6,4,6,0,6,8,22443,"SC",26
"INOCENCIA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,0,3,3,7618,"MS",26
"IPIGUA",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,5178,"SP",26
"ITAPIRANGA",20,20,20,20,20,20,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2,18,0,20,20,9125,"AM",26
"ITAPORA",7,4,4,4,8,8,8,8,4,4,4,6,8,7,8,8,5,8,7,8,8,9,8,4,0,8,8,23539,"MS",26
"ITAQUAQUECETUBA",2,3,3,3,3,2,2,2,3,3,2,2,3,2,2,2,3,2,2,2,2,3,2,2,0,2,3,360657,"SP",26
"ITUIUTABA",8,5,11,5,5,7,7,10,5,2,2,3,4,3,3,4,5,5,5,5,5,4,6,7,0,5,5,104526,"MG",26
"ITUPEVA",53,89,93,91,90,72,75,76,74,90,81,10,83,12,33,12,83,21,59,57,75,88,56,84,0,42,74,57031,"SP",26
"JAGUARIUNA",3,4,4,4,4,3,3,3,4,4,3,2,4,4,2,1,4,3,3,3,4,4,3,4,0,2,4,54204,"SP",26
"JAPARATUBA",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,14,14,18656,"SE",26
