"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","Population","UF","How many different pesticides over or equal to the limit?"
"AMELIA RODRIGUES",3,1,4,0,0,3,3,4,0,0,0,4,0,4,4,4,0,2,0,0,0,0,4,2,4,4,0,26409,"BA",15
"ANAGE",3,1,4,0,0,3,3,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,4,4,0,19568,"BA",15
"ANDARAI",3,1,4,0,0,3,3,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,3,3,3,0,13737,"BA",15
"ANGICAL",2,1,4,0,0,2,2,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,4,3,3,4,0,14690,"BA",15
"ANTAS",8,3,11,0,0,8,8,11,0,0,0,8,0,8,7,8,0,8,0,0,0,0,11,8,7,7,0,19569,"BA",15
"ANTONIO GONCALVES",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,3,0,12072,"BA",15
"APUAREMA",2,1,4,0,0,2,2,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,4,4,0,7730,"BA",15
"ARACATU",4,1,4,0,0,4,4,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,4,4,4,4,0,13962,"BA",15
"ARAMARI",2,1,4,0,0,2,2,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,3,2,4,4,0,11703,"BA",15
"ARATACA",5,1,5,0,0,5,5,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,5,4,4,0,11661,"BA",15
"ARATUIPE",1,1,3,0,0,1,1,4,0,0,0,3,0,3,3,3,0,4,0,0,0,0,3,2,3,3,0,9171,"BA",15
"AREIOPOLIS",0,5,5,4,6,0,0,0,5,5,6,0,6,1,0,0,2,3,3,0,0,6,0,6,0,0,6,11107,"SP",15
"ASPASIA",0,4,5,4,6,0,0,0,6,4,5,0,6,1,0,1,0,2,2,0,0,7,0,6,0,0,6,1842,"SP",15
"BAIANOPOLIS",2,1,4,0,0,2,2,3,0,0,0,3,0,3,2,3,0,2,0,0,0,0,3,3,3,3,0,14323,"BA",15
"BANZAE",3,1,4,0,0,3,3,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,3,3,3,0,13765,"BA",15
"BARRA DO ROCHA",3,1,3,0,0,2,3,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,3,2,2,0,6258,"BA",15
"BARREIRAS",7,3,9,0,0,7,7,9,0,0,0,9,0,9,9,9,0,8,0,0,0,0,9,9,8,9,0,157638,"BA",15
"BARUERI",1,4,4,4,4,0,1,0,4,4,1,0,4,0,0,0,4,1,1,0,0,4,0,0,0,0,4,267534,"SP",15
"BIRITINGA",4,2,5,0,0,4,4,5,0,0,0,5,0,5,5,5,0,4,0,0,0,0,5,4,5,5,0,16653,"BA",15
"BOA VISTA DO TUPIM",7,2,12,0,0,7,7,10,0,0,0,10,0,10,10,10,0,10,0,0,0,0,10,10,10,10,0,19502,"BA",15
"BOCAINA",0,2,7,5,7,0,0,0,7,3,7,0,7,4,0,4,0,0,0,1,1,0,1,3,0,0,7,4428,"PI",15
"BONINAL",3,2,3,0,0,2,2,4,0,0,0,3,0,3,2,3,0,2,0,0,0,0,3,3,4,2,0,14760,"BA",15
"BREJO ALEGRE",0,3,3,3,7,0,0,0,6,3,6,0,7,0,0,0,1,3,3,0,0,7,1,6,0,0,7,2812,"SP",15
"BREJOES",3,1,4,0,0,3,2,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,2,4,3,3,0,15122,"BA",15
"BRUMADO",12,3,11,0,0,12,12,12,0,0,0,12,0,12,12,12,0,12,0,0,0,0,12,12,12,12,0,69677,"BA",15
"CAATIBA",2,1,5,0,0,2,2,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,3,3,4,4,0,7841,"BA",15
"CABACEIRAS DO PARAGUACU",12,3,12,0,0,12,12,11,0,0,0,11,0,11,11,11,0,9,0,0,0,0,11,12,11,10,0,19312,"BA",15
"CACHOEIRA",16,4,16,0,0,16,16,13,0,0,0,13,0,13,13,13,0,9,0,0,0,0,13,16,13,13,0,35139,"BA",15
"CACULE",1,1,4,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,1,2,2,2,0,23817,"BA",15
"CAETITE",4,2,8,0,0,4,4,7,0,0,0,7,0,7,7,7,0,7,0,0,0,0,5,6,7,7,0,52853,"BA",15
"CAIRU",3,2,7,0,0,3,3,5,0,0,0,5,0,5,5,5,0,3,0,0,0,0,5,3,5,5,0,18224,"BA",15
"CAMACAN",9,2,10,0,0,9,9,6,0,0,0,6,0,6,6,6,0,5,0,0,0,0,5,9,6,6,0,33310,"BA",15
"CAMAMU",4,2,7,0,0,4,4,8,0,0,0,8,0,8,8,8,0,8,0,0,0,0,6,6,8,7,0,36644,"BA",15
"CAMPO FORMOSO",3,1,4,0,0,3,3,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,3,3,3,0,73448,"BA",15
"CANAS",0,3,3,3,3,0,0,0,3,2,3,0,3,1,0,1,0,1,1,0,0,3,0,3,0,0,3,4975,"SP",15
"CANAVIEIRAS",3,1,4,0,0,2,3,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,3,4,3,3,0,33002,"BA",15
"CAPELA DO ALTO ALEGRE",2,2,3,0,0,2,2,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,2,3,3,0,12199,"BA",15
"CARAIBAS",3,1,4,0,0,3,3,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,4,4,0,9773,"BA",15
"CARAVELAS",6,3,11,0,0,7,6,12,0,0,0,9,0,9,9,9,0,8,0,0,0,0,11,6,9,9,0,22740,"BA",15
"CARDEAL DA SILVA",5,2,7,0,0,5,5,7,0,0,0,7,0,7,7,7,0,6,0,0,0,0,7,5,7,7,0,9544,"BA",15
"CEZARINA",8,0,6,0,0,8,8,8,0,0,0,0,0,5,7,8,0,2,6,5,6,0,5,0,2,8,0,8386,"GO",15
"CHARQUEADA",0,4,8,4,7,1,0,0,8,4,8,0,8,0,0,0,0,6,6,0,1,8,0,7,0,0,7,16772,"SP",15
"CHORROCHO",1,1,3,0,0,1,1,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,2,2,3,3,0,11591,"BA",15
"CICERO DANTAS",4,1,6,0,0,4,4,5,0,0,0,4,0,4,4,4,0,4,0,0,0,0,5,4,4,4,0,34676,"BA",15
"CIPO",4,2,7,0,0,4,4,8,0,0,0,8,0,8,8,8,0,8,0,0,0,0,6,4,8,8,0,17739,"BA",15
"COARACI",3,1,4,0,0,3,3,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,4,4,0,19022,"BA",15
"CONDE",5,1,8,0,0,5,5,8,0,0,0,8,0,8,8,8,0,7,0,0,0,0,8,5,8,8,0,24769,"PB",15
"CONDEUBA",1,1,4,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,1,2,2,2,0,18191,"BA",15
"CONTENDAS DO SINCORA",2,1,3,0,0,2,2,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,1,3,2,2,0,4299,"BA",15
"CORONEL MACEDO",0,5,8,6,10,0,0,0,12,6,11,0,10,3,0,3,0,5,5,0,0,10,0,10,0,0,10,4840,"SP",15
"COTEGIPE",2,1,4,0,0,2,2,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,4,3,4,4,0,14414,"BA",15
"CRAVOLANDIA",4,1,3,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,3,3,3,0,5576,"BA",15
"CRISTOPOLIS",2,1,4,0,0,2,2,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,3,3,3,3,0,14403,"BA",15
"CUIABA",0,36,49,36,36,0,0,0,36,36,36,0,36,0,1,0,36,0,36,0,0,36,0,37,1,0,36,590118,"MT",15
"DARIO MEIRA",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,3,0,11716,"BA",15
"ECOPORANGA",4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,4,4,0,4,0,4,0,4,0,0,4,24217,"ES",15
"ELISIO MEDRADO",4,1,4,0,0,4,4,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,4,4,4,4,0,8461,"BA",15
"ENTRE RIOS",9,3,12,0,0,9,9,12,0,0,0,12,0,12,12,12,0,9,0,0,0,0,12,9,12,12,0,43223,"BA",15
"ESPLANADA",5,1,8,0,0,5,5,7,0,0,0,7,0,7,7,7,0,5,0,0,0,0,7,5,7,7,0,37845,"BA",15
"ESTRELA D'OESTE",0,4,10,4,10,0,0,0,9,4,9,0,10,3,0,3,0,3,3,0,0,10,0,10,0,0,10,8466,"SP",15
"EUCLIDES DA CUNHA",4,2,8,0,0,4,4,8,0,0,0,8,0,8,8,8,0,8,0,0,0,0,6,5,8,8,0,61924,"BA",15
"EUNAPOLIS",2,1,4,0,0,2,2,4,0,0,0,3,0,3,3,3,0,3,0,0,0,0,3,2,3,3,0,115290,"BA",15
"FATIMA",2,1,5,0,0,2,2,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,2,2,2,0,3879,"TO",15
"FLORESTA AZUL",2,1,4,0,0,2,2,2,0,0,0,3,0,3,3,3,0,3,0,0,0,0,2,3,3,3,0,11244,"BA",15
"FORMOSA DO RIO PRETO",4,1,3,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,2,3,0,25912,"BA",15
"GANDU",2,1,3,0,0,2,2,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,4,4,0,33234,"BA",15
"GAVIAO",2,2,3,0,0,2,2,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,2,3,3,0,4725,"BA",15
"GENTIO DO OURO",1,2,2,0,0,1,1,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,2,2,3,3,0,11639,"BA",15
"GLORIA",8,4,10,0,0,8,8,9,0,0,0,9,0,9,9,9,0,9,0,0,0,0,9,8,9,9,0,15840,"BA",15
"GONGOGI",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,3,0,7848,"BA",15
"GUAJERU",1,1,4,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,1,2,2,2,0,8081,"BA",15
"GUARATINGA",3,1,4,0,0,3,3,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,3,3,3,0,22154,"BA",15
"IACU",6,2,8,0,0,6,6,6,0,0,0,6,0,6,6,6,0,4,0,0,0,0,6,6,6,6,0,25884,"BA",15
"IBICOARA",3,1,4,0,0,2,3,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,2,4,3,3,0,19786,"BA",15
"IBICUI",3,1,4,0,0,3,3,3,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,4,4,0,16796,"BA",15
"IBIRA",0,4,5,4,7,0,0,0,7,4,7,0,7,2,0,1,0,1,3,0,0,7,0,6,0,0,7,12096,"SP",15
"IBIRAPUA",3,1,4,0,0,3,3,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,3,2,4,4,0,8852,"BA",15
"IBIRATAIA",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,2,4,3,3,0,17221,"BA",15
"IBITIARA",3,2,4,0,0,2,3,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,4,4,0,16855,"BA",15
"IBITITA",2,2,2,0,0,2,2,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,2,3,3,3,0,17948,"BA",15
"IBOTIRAMA",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,3,0,27862,"BA",15
"IGRAPIUNA",2,1,4,0,0,2,2,4,0,0,0,4,0,4,3,4,0,4,0,0,0,0,3,3,4,3,0,14187,"BA",15
"IGUAI",3,1,4,0,0,3,3,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,4,4,0,27939,"BA",15
"ILHEUS",14,5,19,0,0,13,14,15,0,0,0,15,0,15,15,15,0,14,0,0,0,0,14,18,15,15,0,176341,"BA",15
"INDIAPORA",0,6,10,6,10,0,0,0,8,6,8,0,10,2,0,3,0,4,4,0,0,9,0,10,0,0,10,3951,"SP",15
"IPIAU",4,1,4,0,0,3,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,3,0,47704,"BA",15
"IPUPIARA",6,4,8,0,0,6,6,8,0,0,0,8,0,8,8,8,0,6,0,0,0,0,8,6,8,8,0,10157,"BA",15
"IRAMAIA",2,1,1,0,0,2,2,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,3,2,3,3,0,9901,"BA",15
"IRAPUA",0,3,4,3,5,0,0,0,4,3,4,0,5,2,0,2,0,1,1,0,0,5,0,5,0,0,5,7878,"SP",15
"IRAQUARA",6,4,6,0,0,6,6,8,0,0,0,8,0,8,8,8,0,6,0,0,0,0,8,6,8,8,0,25536,"BA",15
"IRARA",2,1,3,0,0,1,2,3,0,0,0,3,0,3,3,3,0,1,0,0,0,0,3,1,3,3,0,29879,"BA",15
"ITABELA",4,2,8,0,0,4,4,8,0,0,0,6,0,6,6,6,0,6,0,0,0,0,6,4,6,6,0,31422,"BA",15
"ITABERA",3,14,22,14,19,1,0,0,19,13,19,0,22,0,0,0,0,8,8,0,0,22,0,23,0,0,21,17879,"SP",15
"ITABERABA",8,3,9,0,0,8,8,8,0,0,0,8,0,8,8,8,0,5,0,0,0,0,8,8,8,8,0,66806,"BA",15
"ITACARE",4,2,6,0,0,4,4,5,0,0,0,5,0,5,5,5,0,5,0,0,0,0,5,6,5,4,0,28382,"BA",15
"ITAETE",1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,16586,"BA",15
"ITAGI",3,1,2,0,0,3,3,2,0,0,0,2,0,2,2,1,0,2,0,0,0,0,2,3,2,2,0,13199,"BA",15
"ITAGIBA",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,3,0,15577,"BA",15
"ITAGUACU DA BAHIA",2,2,2,0,0,2,2,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,3,3,4,4,0,14718,"BA",15
"ITAMARAJU",5,1,8,0,0,4,5,8,0,0,0,7,0,7,7,7,0,6,0,0,0,0,6,4,7,7,0,67356,"BA",15
"ITAMARI",3,1,4,0,0,3,3,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,4,4,0,8476,"BA",15
"ITAMBE",3,1,4,0,0,3,4,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,2,4,3,3,0,36320,"PE",15
"ITANAGRA",4,2,8,0,0,4,4,8,0,0,0,8,0,8,8,8,0,8,0,0,0,0,6,4,8,8,0,6730,"BA",15
"ITANHEM",3,3,12,0,0,3,3,12,0,0,0,9,0,9,9,9,0,9,0,0,0,0,9,3,9,9,0,20501,"BA",15
"ITAPARICA",1,1,3,0,0,1,1,4,0,0,0,3,0,3,3,3,0,4,0,0,0,0,3,2,3,3,0,22866,"BA",15
"ITAPE",2,1,3,0,0,2,2,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,3,3,3,4,0,9830,"BA",15
"ITAPEBI",2,1,4,0,0,2,2,4,0,0,0,3,0,3,3,3,0,3,0,0,0,0,3,2,3,3,0,10830,"BA",15
"ITAPEVA",0,20,34,21,35,0,0,0,36,21,34,0,35,1,1,0,0,14,14,0,0,35,0,36,0,0,35,9618,"MG",15
"ITAPITANGA",3,1,4,0,0,3,3,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,4,4,0,10799,"BA",15
"ITARANTIM",3,1,4,0,0,3,3,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,2,4,3,3,0,20314,"BA",15
"ITUACU",3,1,4,0,0,3,3,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,2,4,3,3,0,19577,"BA",15
"JACARACI",1,1,4,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,1,2,2,2,0,15459,"BA",15
"JACOBINA",4,2,5,0,0,4,4,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,4,4,4,0,83635,"BA",15
"JAGUAQUARA",3,1,4,0,0,3,3,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,2,4,3,3,0,56033,"BA",15
"JAGUARARI",2,1,6,0,0,3,3,6,0,0,0,6,0,6,6,6,0,6,0,0,0,0,5,4,6,6,0,34499,"BA",15
"JAGUARIPE",4,3,9,0,0,4,4,10,0,0,0,8,0,8,8,8,0,10,0,0,0,0,7,7,8,8,0,19036,"BA",15
"JANDAIRA",6,2,8,0,0,6,6,8,0,0,0,8,0,8,8,8,0,6,0,0,0,0,8,6,8,8,0,6942,"RN",15
"JEREMOABO",2,1,4,0,0,2,2,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,3,2,3,3,0,41605,"BA",15
"JIQUIRICA",4,1,3,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,3,3,3,0,15106,"BA",15
"JITAUNA",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,3,0,12692,"BA",15
"JUCURUCU",3,1,4,0,0,2,3,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,3,2,4,4,0,9924,"BA",15
"JUSSIAPE",6,1,6,0,0,6,6,6,0,0,0,6,0,6,6,6,0,6,0,0,0,0,6,6,6,6,0,7066,"BA",15
"LAFAIETE COUTINHO",4,1,3,0,0,4,4,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,3,4,3,3,0,3975,"BA",15
"LAGOA REAL",1,1,4,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,1,2,2,2,0,16029,"BA",15
"LAJE",2,1,4,0,0,2,2,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,2,3,3,0,24306,"BA",15
"LAJEDAO",6,2,8,0,0,6,6,8,0,0,0,8,0,8,8,8,0,6,0,0,0,0,6,4,8,8,0,4068,"BA",15
"LAJEDINHO",2,1,3,0,0,2,2,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,3,3,3,3,0,4017,"BA",15
"LAJEDO DO TABOCAL",2,1,3,0,0,1,2,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,1,3,2,2,0,8886,"BA",15
"LAMARAO",3,1,3,0,0,2,3,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,4,4,0,9007,"BA",15
"LAVINIA",0,4,4,5,2,1,0,2,4,3,4,0,0,0,2,1,0,0,0,0,0,2,2,3,0,0,4,11156,"SP",15
"LENCOIS",5,2,7,0,0,5,5,7,0,0,0,7,0,7,7,7,0,5,0,0,0,0,7,5,7,7,0,11636,"BA",15
"LICINIO DE ALMEIDA",1,1,4,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,1,2,2,2,0,12969,"BA",15
"LUIS EDUARDO MAGALHAES",1,1,3,0,0,1,1,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,3,2,3,3,0,83557,"BA",15
"MACAUBAS",1,1,3,0,0,1,1,1,0,0,0,2,0,2,2,2,0,2,0,0,0,0,1,3,2,2,0,50987,"BA",15
"MAETINGA",3,1,4,0,0,3,3,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,4,4,0,4456,"BA",15
"MALHADA",4,2,8,0,0,4,4,6,0,0,0,6,0,6,6,6,0,6,0,0,0,0,4,6,6,6,0,17526,"BA",15
"MALHADA DE PEDRAS",3,1,3,0,0,3,3,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,3,3,3,3,0,8856,"BA",15
"MANDIRITUBA",0,3,3,0,3,5,0,0,0,3,3,0,1,0,0,0,3,3,3,3,3,3,0,3,0,0,2,25662,"PR",15
"MANOEL VITORINO",2,1,3,0,0,3,3,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,2,4,3,3,0,14251,"BA",15
"MANSIDAO",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,3,0,13959,"BA",15
"MANTENA",15,0,24,0,0,16,15,14,0,0,0,5,0,11,8,4,0,16,0,11,16,0,12,3,0,4,0,28132,"MG",15
"MARACAS",8,3,10,0,0,8,8,11,0,0,0,11,0,11,11,11,0,8,0,0,0,0,10,9,11,11,0,23018,"BA",15
"MARAGOGIPE",6,2,8,0,0,6,6,9,0,0,0,7,0,7,7,7,0,8,0,0,0,0,8,7,7,7,0,46260,"BA",15
"MARCIONILIO SOUZA",6,2,8,0,0,6,6,6,0,0,0,6,0,6,6,6,0,4,0,0,0,0,6,6,6,6,0,10931,"BA",15
"MASCOTE",10,2,10,0,0,10,10,7,0,0,0,7,0,7,7,7,0,5,0,0,0,0,7,10,7,7,0,14728,"BA",15
"MEDEIROS NETO",4,1,8,0,0,4,4,7,0,0,0,6,0,6,6,6,0,5,0,0,0,0,6,3,6,6,0,23586,"BA",15
"MIRA ESTRELA",0,3,5,3,5,0,0,0,4,2,4,0,5,1,0,1,0,2,2,0,0,5,0,5,0,0,5,3045,"SP",15
"MIRANGABA",3,1,3,0,0,3,3,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,3,2,2,0,18729,"BA",15
"MOCOCA",0,21,23,21,10,0,0,0,25,21,9,1,9,0,0,0,2,3,3,0,0,8,0,7,0,0,23,68994,"SP",15
"MORPARA",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,3,0,8950,"BA",15
"MORRO DO CHAPEU",5,3,7,0,0,5,5,9,0,0,0,9,0,9,9,9,0,7,0,0,0,0,8,6,9,9,0,36856,"BA",15
"MUCURI",8,3,12,0,0,9,9,12,0,0,0,12,0,12,12,12,0,9,0,0,0,0,9,6,12,12,0,42072,"BA",15
"MULUNGU DO MORRO",2,2,3,0,0,2,2,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,3,3,4,4,0,11988,"BA",15
"MUNIZ FERREIRA",2,1,3,0,0,2,2,3,0,0,0,3,0,3,3,2,0,2,0,0,0,0,2,3,3,3,0,7678,"BA",15
"MUQUEM DE SAO FRANCISCO",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,3,0,11644,"BA",15
"MURITIBA",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,3,0,30631,"BA",15
"NAZARE",1,1,3,0,0,1,1,4,0,0,0,3,0,3,3,3,0,4,0,0,0,0,3,2,3,3,0,4060,"TO",15
"NOVA CANAA",6,2,8,0,0,6,6,8,0,0,0,8,0,8,8,8,0,6,0,0,0,0,8,6,8,8,0,17141,"BA",15
"NOVA IBIA",3,1,3,0,0,3,3,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,4,3,0,6986,"BA",15
"NOVA LIMA",1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,92178,"MG",15
"NOVA REDENCAO",2,1,3,0,0,2,2,2,0,0,0,2,0,2,2,2,0,1,0,0,0,0,2,2,2,2,0,9500,"BA",15
"NOVA SOURE",2,1,4,0,0,2,2,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,3,2,4,4,0,25460,"BA",15
"NOVA VICOSA",12,4,16,0,0,12,12,16,0,0,0,16,0,16,15,16,0,12,0,0,0,0,12,8,16,16,0,44052,"BA",15
"NOVO TRIUNFO",3,1,3,0,0,3,3,4,0,0,0,3,0,3,3,3,0,3,0,0,0,0,4,3,3,3,0,16037,"BA",15
"OURICANGAS",2,1,4,0,0,2,2,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,3,2,4,4,0,8916,"BA",15
"OUROLANDIA",2,2,2,0,0,2,2,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,3,3,4,4,0,18025,"BA",15
"PALMEIRAS",3,2,4,0,0,3,3,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,4,4,0,9250,"BA",15
"PARAMIRIM",2,1,3,0,0,2,2,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,2,3,3,3,0,22286,"BA",15
"PARANAPANEMA",2,6,10,6,10,1,0,0,9,6,9,0,10,0,0,0,0,4,4,0,0,10,0,9,0,0,10,19730,"SP",15
"PARANAPUA",0,3,4,3,6,0,0,0,5,3,5,0,6,1,0,1,0,3,3,0,0,6,0,6,0,0,6,4051,"SP",15
"PASSO DE TORRES",0,1,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,1,0,1,1,1,2,0,0,0,1,8370,"SC",15
"PAU BRASIL",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,2,0,10673,"BA",15
"PAULO AFONSO",2,2,6,0,0,2,2,5,0,0,0,5,0,5,5,5,0,5,0,0,0,0,3,4,5,5,0,120706,"BA",15
"PE DE SERRA",3,1,4,0,0,3,3,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,4,4,0,14226,"BA",15
"PEDRANOPOLIS",0,9,15,9,15,0,0,0,13,9,13,0,15,4,0,3,0,4,4,0,0,15,0,15,0,0,15,2547,"SP",15
"PEDRAO",2,1,4,0,0,2,2,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,3,2,4,4,0,7527,"BA",15
"PEDRO ALEXANDRE",2,1,2,0,0,2,2,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,2,2,2,0,18209,"BA",15
"PETROPOLIS",25,15,34,0,1,26,25,26,0,0,10,0,0,6,0,0,0,26,13,25,24,0,25,0,1,0,0,298235,"RJ",15
"PIACATU",1,0,2,0,0,1,2,2,0,0,0,1,0,1,1,1,0,2,0,1,1,0,2,1,0,1,0,5846,"SP",15
"PINHAIS",0,2,3,1,3,3,0,0,0,2,3,0,0,0,0,0,3,3,4,3,3,4,0,3,0,0,3,129445,"PR",15
"PLANALTINO",2,1,3,0,0,2,2,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,2,3,3,3,0,9582,"BA",15
"POJUCA",2,1,4,0,0,2,2,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,3,2,4,4,0,39718,"BA",15
"PONTES GESTAL",0,4,4,1,3,0,0,0,4,3,4,0,4,0,0,0,0,1,1,1,0,3,0,3,0,1,3,2594,"SP",15
"PONTO NOVO",6,1,8,0,0,6,6,6,0,0,0,6,0,6,6,6,0,4,0,0,0,0,6,6,6,6,0,15830,"BA",15
"POPULINA",0,8,13,8,12,0,0,0,8,8,8,0,12,2,0,4,0,6,6,0,0,12,0,12,0,0,12,4240,"SP",15
"PORTO SEGURO",9,3,16,0,0,10,10,16,0,0,0,12,0,12,12,12,0,12,0,0,0,0,14,10,11,12,0,149324,"BA",15
"POTIRAGUA",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,3,0,8438,"BA",15
"PRADO",4,2,7,0,0,4,4,7,0,0,0,5,0,5,5,5,0,6,0,0,0,0,7,4,5,5,0,29326,"BA",15
