"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","Population","UF","How many different pesticides detected (>0ppb)?"
"AMERICO DE CAMPOS",15,25,30,30,20,15,15,15,25,25,20,25,20,15,15,15,25,15,20,16,15,30,15,25,25,25,25,5967,"SP",27
"AMPARO",13,11,11,10,10,11,11,10,11,10,10,10,10,10,10,10,11,10,10,11,10,12,11,10,11,10,11,2246,"PB",27
"ANDRADINA",6,5,5,5,5,5,5,6,6,6,6,3,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,57350,"SP",27
"ANHEMBI",16,12,19,13,21,16,16,16,21,13,21,16,21,20,16,21,10,16,16,16,16,21,16,21,21,16,21,6484,"SP",27
"ANITA GARIBALDI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7537,"SC",27
"ANTONINA",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,19420,"PR",27
"APARECIDA D'OESTE",4,4,5,4,6,4,3,3,6,4,6,4,6,4,4,4,2,4,4,4,4,6,3,6,6,4,6,4329,"SP",27
"APARECIDA DO TABOADO",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25072,"MS",27
"APIAI",47,2,55,2,11,46,47,46,12,2,11,47,15,47,47,47,2,42,11,43,42,11,46,48,63,47,11,24945,"SP",27
"ARACATUBA",8,8,8,8,8,8,8,8,8,7,8,5,8,8,8,7,8,8,7,8,8,8,8,8,8,8,8,194874,"SP",27
"ARAGUANA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5645,"TO",27
"ARAGUARI",257,257,257,257,258,258,257,257,257,256,257,257,258,252,258,249,257,257,258,257,258,256,255,257,258,258,255,117445,"MG",27
"ARANDU",4,2,5,2,5,4,4,5,5,3,5,3,4,5,4,5,2,4,4,3,3,5,4,5,5,4,5,6368,"SP",27
"ARAQUARI",10,9,8,8,8,8,8,7,4,4,9,10,4,10,10,5,8,8,5,8,8,8,8,10,10,10,8,35268,"SC",27
"ARARANGUA",4,2,3,2,2,4,4,3,2,2,2,3,2,4,4,3,2,2,2,2,2,2,4,3,4,4,2,67110,"SC",27
"ARARAQUARA",9,12,12,22,12,13,10,10,11,12,10,11,10,10,10,10,12,12,11,10,10,10,10,14,11,12,10,230770,"SP",27
"ARARAS",53,48,50,48,48,48,48,52,50,50,49,50,48,50,52,52,48,48,49,48,47,46,50,52,52,50,48,131282,"SP",27
"ARARUAMA",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,126742,"RJ",27
"ARARUNA",5,5,3,4,4,4,4,5,5,5,5,5,5,5,5,4,4,1,4,4,4,4,4,5,5,5,4,20418,"PB",27
"ARAUCARIA",7,14,13,4,13,14,7,14,2,14,14,14,5,2,7,7,13,13,13,13,14,13,14,13,14,13,13,137452,"PR",27
"ARAUJOS",4,2,4,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,4,4,2,8996,"MG",27
"AREALVA",13,14,23,14,24,13,13,13,25,14,25,13,24,13,13,13,8,13,13,13,13,24,12,20,20,13,24,8452,"SP",27
"AREIOPOLIS",4,5,6,4,6,4,4,4,5,5,6,5,6,5,4,4,4,4,4,4,4,6,4,6,6,4,6,11107,"SP",27
"ARMAZEM",8,4,8,4,4,8,8,8,4,4,4,8,4,8,8,8,4,4,8,4,4,4,8,8,8,8,4,8520,"SC",27
"ARROIO TRINTA",2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3564,"SC",27
"ARTUR NOGUEIRA",17,14,15,15,14,15,14,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,15,15,15,14,51986,"SP",27
"ASPASIA",3,4,6,4,6,3,3,3,6,4,5,3,6,4,3,4,2,3,3,3,3,7,4,6,6,3,6,1842,"SP",27
"ASTORGA",26,18,16,15,17,22,22,24,15,20,18,26,17,20,24,24,17,18,17,18,18,17,24,17,21,23,16,26196,"PR",27
"AVAI",9,2,12,2,12,8,9,9,10,2,10,9,12,9,9,9,2,9,9,9,9,12,9,12,12,9,12,5337,"SP",27
"AVARE",12,9,18,9,18,11,13,12,18,9,17,11,17,12,12,12,6,12,12,12,12,18,12,16,18,12,15,89479,"SP",27
"BADY BASSITT",95,64,95,64,64,95,95,95,64,64,64,95,64,95,95,95,64,95,64,95,95,64,94,78,94,95,64,16843,"SP",27
"BALBINOS",5,2,5,2,5,4,4,5,5,2,5,4,4,5,4,4,2,4,4,3,3,5,5,5,6,5,4,5188,"SP",27
"BALNEARIO CAMBORIU",4,4,6,4,4,5,1,6,3,4,3,4,4,5,5,5,4,2,5,2,3,3,2,6,2,3,4,135268,"SC",27
"BALNEARIO GAIVOTA",2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,10413,"SC",27
"BANANAL",6,2,3,2,2,2,2,6,4,2,4,6,4,4,4,2,2,2,2,2,2,2,2,6,6,2,2,10867,"SP",27
"BARAO DE ANTONINA",3,3,6,3,5,3,3,3,3,3,4,3,5,3,3,3,2,3,3,3,3,5,3,4,5,3,5,3406,"SP",27
"BARBOSA",9,9,9,8,8,8,7,9,9,9,9,9,9,9,9,8,8,8,8,7,8,9,9,9,8,10,8,7251,"SP",27
"BARRA DO GARCAS",6,6,1,1,1,1,1,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,6,6,6,1,58974,"MT",27
"BARRETOS",24,23,23,23,23,23,24,24,23,23,24,24,24,24,24,24,23,24,24,24,24,23,22,24,24,24,23,120638,"SP",27
"BARUERI",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,267534,"SP",27
"BASTOS",11,7,17,7,7,11,11,11,7,7,7,13,7,11,16,11,7,12,7,16,15,7,15,11,17,13,7,21073,"SP",27
"BATAGUASSU",17,16,16,16,16,17,17,17,16,16,15,17,16,17,17,17,16,17,15,17,17,16,17,16,16,17,16,22389,"MS",27
"BATATAIS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61480,"SP",27
"BAURU",68,67,72,69,66,66,66,66,69,69,66,70,68,66,66,71,67,64,65,65,65,68,64,69,70,66,66,371690,"SP",27
"BENTO DE ABREU",3,3,4,3,6,3,3,3,4,2,4,3,5,3,3,3,3,3,3,3,3,6,3,4,6,3,6,2925,"SP",27
"BIRIGUI",40,105,110,110,67,42,36,38,106,110,78,82,40,40,40,40,39,40,39,37,42,109,40,106,82,84,109,120692,"SP",27
"BIRITIBA-MIRIM",11,7,6,8,10,11,11,10,6,8,6,8,9,5,5,10,7,9,9,9,9,10,10,7,13,10,10,31793,"SP",27
"BLUMENAU",3,1,2,1,2,2,4,3,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,2,3,2,348513,"SC",27
"BOA ESPERANCA",4,3,4,3,3,4,4,4,4,4,4,3,3,4,4,3,3,4,3,3,4,4,3,3,4,4,3,40530,"MG",27
"BOA VENTURA DE SAO ROQUE",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6665,"PR",27
"BOCAINA DO SUL",4,2,4,3,3,4,4,4,2,2,2,4,2,4,4,2,3,3,4,3,3,3,4,4,4,4,3,3456,"SC",27
"BOFETE",26,15,29,16,25,24,24,25,27,17,27,25,24,24,23,23,15,23,22,24,24,25,24,25,26,24,25,11236,"SP",27
"BOITUVA",6,3,7,3,6,6,6,6,6,3,6,6,6,6,6,6,3,6,6,6,6,6,6,7,6,6,6,57910,"SP",27
"BOM JARDIM DA SERRA",7,4,7,4,4,7,7,7,4,4,4,7,4,7,7,7,4,4,7,4,4,5,7,7,7,7,4,4694,"SC",27
"BOM JESUS DO OESTE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2151,"SC",27
"BOM RETIRO",11,8,12,7,6,12,12,12,6,7,6,12,7,12,11,11,7,7,12,7,9,6,11,12,11,12,7,9796,"SC",27
"BOM SUCESSO",15,8,14,8,8,8,8,8,8,8,8,8,8,12,13,14,8,8,8,8,8,8,8,14,14,15,8,4972,"PB",27
"BOM SUCESSO DE ITARARE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3888,"SP",27
"BOM SUCESSO DO SUL",4,2,2,2,1,2,2,6,2,2,2,4,2,4,4,4,1,1,1,1,1,1,2,3,4,4,1,3358,"PR",27
"BONITO",3,2,5,1,1,3,3,4,1,1,1,4,1,4,3,4,1,4,1,1,1,1,4,4,4,4,1,15834,"PA",27
"BOQUIM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26961,"SE",27
"BOREBI",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2577,"SP",27
"BOTUCATU",40,28,54,28,49,35,38,40,51,27,49,39,50,40,40,41,17,37,39,39,39,49,36,50,50,41,49,142546,"SP",27
"BRACO DO NORTE",6,3,6,3,3,6,6,6,3,3,3,6,3,6,6,6,3,3,6,3,3,3,6,6,6,6,3,32648,"SC",27
"BRACO DO TROMBUDO",12,8,12,8,8,12,11,12,10,8,10,12,10,9,11,12,8,10,10,10,10,8,11,12,12,12,8,3709,"SC",27
"BRASILANDIA",12,11,11,10,10,9,11,12,11,11,10,12,11,12,12,12,10,11,10,11,11,10,8,11,11,11,9,11864,"MS",27
"BREJO ALEGRE",5,3,6,3,7,5,5,5,6,3,6,5,7,5,5,5,3,5,5,5,5,7,5,6,7,5,7,2812,"SP",27
"BRODOWSKI",6,5,7,5,4,5,4,6,6,5,6,6,6,6,6,6,5,5,5,5,4,4,4,6,6,6,4,24092,"SP",27
"BROTAS",6,8,8,8,8,5,8,6,8,8,8,8,8,4,6,2,8,6,8,8,6,4,6,8,8,4,8,23858,"SP",27
