"ibgeCode",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","population","stateLettersCode","municipalityName"
171550,0,0,0,0,0,0,0,0,0,2,1110,"TO","Oliveira de Fátima"
171570,0,0,0,0,0,0,0,0,0,5,5859,"TO","Palmeirante"
171575,0,0,0,0,0,0,0,0,0,2,7687,"TO","Palmeirópolis"
171610,0,0,0,0,0,0,0,0,0,13,50360,"TO","Paraíso do Tocantins"
171620,0,0,0,0,0,0,0,0,0,4,10562,"TO","Paranã"
171630,0,0,0,0,0,0,0,0,0,3,4853,"TO","Pau D'Arco"
171660,0,0,0,0,0,0,0,0,0,10,11591,"TO","Peixe"
171665,0,0,0,0,0,0,0,0,0,3,5453,"TO","Pequizeiro"
171670,0,0,0,0,0,0,0,4,4,10,8409,"TO","Colméia"
171700,0,0,0,0,0,0,0,0,0,2,4520,"TO","Pindorama do Tocantins"
171720,0,0,0,0,0,0,0,0,0,4,3044,"TO","Piraquê"
171750,0,0,0,0,0,0,0,0,0,4,7536,"TO","Pium"
171780,0,0,0,0,0,0,0,0,0,3,4645,"TO","Ponte Alta do Bom Jesus"
171790,0,0,0,0,0,0,0,0,0,5,7949,"TO","Ponte Alta do Tocantins"
171800,0,0,0,0,0,0,0,0,0,6,3102,"TO","Porto Alegre do Tocantins"
171820,0,0,0,0,0,0,0,0,0,8,52828,"TO","Porto Nacional"
171830,0,0,0,0,0,0,0,0,0,3,8365,"TO","Praia Norte"
171840,0,0,0,0,0,0,0,0,0,6,3733,"TO","Presidente Kennedy"
171845,0,0,0,0,0,0,0,0,0,2,2650,"TO","Pugmil"
171850,0,0,0,0,0,0,0,0,0,5,4230,"TO","Recursolândia"
171855,0,0,0,0,0,0,0,0,0,2,4601,"TO","Riachinho"
171865,0,0,0,0,0,0,0,0,0,5,2061,"TO","Rio da Conceição"
171870,0,0,0,0,0,0,0,0,0,3,2810,"TO","Rio dos Bois"
171875,0,0,0,0,0,0,0,0,0,2,6512,"TO","Rio Sono"
171884,0,0,0,0,0,0,0,0,0,4,3410,"TO","Sandolândia"
171888,0,0,0,0,0,0,0,0,0,6,3356,"TO","Santa Maria do Tocantins"
171889,0,0,0,0,0,0,0,0,0,2,2343,"TO","Santa Rita do Tocantins"
171890,0,0,0,0,0,0,0,0,0,18,4833,"TO","Santa Rosa do Tocantins"
171900,0,0,0,0,0,0,0,0,0,2,2825,"TO","Santa Tereza do Tocantins"
172000,0,0,0,0,0,0,0,0,0,4,2550,"TO","Santa Terezinha do Tocantins"
172015,0,0,0,0,0,0,0,0,0,1,1571,"TO","São Félix do Tocantins"
172020,0,0,0,0,0,0,0,0,0,10,11906,"TO","São Miguel do Tocantins"
172025,0,0,0,0,0,0,0,0,0,8,3084,"TO","São Salvador do Tocantins"
172030,0,0,0,0,0,0,0,0,0,5,4749,"TO","São Sebastião do Tocantins"
172049,0,0,0,0,0,0,0,0,0,23,4111,"TO","São Valério"
172065,0,0,0,0,0,0,0,0,0,4,5399,"TO","Silvanópolis"
172085,0,0,0,0,0,0,0,0,0,1,1941,"TO","Sucupira"
172090,0,0,0,0,0,0,0,0,0,6,16530,"TO","Taguatinga"
172093,0,0,0,1,0,0,0,0,1,6,2130,"TO","Taipas do Tocantins"
172100,0,0,0,0,0,0,0,0,0,11,286787,"TO","Palmas"
172110,0,0,0,0,0,0,0,0,0,2,7460,"TO","Tocantínia"
172120,0,0,0,0,0,0,0,0,0,26,23119,"TO","Tocantinópolis"
172125,0,0,0,0,0,0,0,0,0,5,1843,"TO","Tupirama"
172130,0,0,0,0,0,0,0,0,0,5,2574,"TO","Tupiratins"
172208,0,0,0,0,0,0,0,0,0,26,11677,"TO","Wanderlândia"
172210,0,0,0,1,0,0,0,0,1,14,11683,"TO","Xambioá"
210820,0,0,0,0,0,0,0,0,0,2,38365,"MA","Pedreiras"
230410,0,0,0,0,0,0,0,0,0,5,74426,"CE","Crateús"
230440,0,0,0,0,0,0,0,0,0,8,2627482,"CE","Fortaleza"
230770,0,0,0,0,0,0,0,1,1,1,126486,"CE","Maranguape"
231180,0,0,0,0,0,0,0,0,0,5,76475,"CE","Russas"
231290,0,0,0,0,0,0,0,0,0,2,205529,"CE","Sobral"
231340,0,0,0,0,0,0,0,0,0,3,74719,"CE","Tianguá"
270820,0,0,0,0,0,0,0,0,0,5,7058,"AL","São Brás"
280067,0,0,0,1,0,0,0,0,1,3,26961,"SE","Boquim"
280290,0,0,0,0,0,0,0,0,0,4,95196,"SE","Itabaiana"
280320,0,0,0,0,0,0,0,0,0,1,34101,"SE","Itaporanga d'Ajuda"
280330,0,0,0,14,0,0,0,0,14,14,18656,"SE","Japaratuba"
280350,0,0,0,25,4,0,0,0,29,29,104099,"SE","Lagarto"
280430,0,0,0,2,0,0,0,0,2,2,7683,"SE","Muribeca"
280440,0,0,0,11,0,0,0,0,11,11,18953,"SE","Neópolis"
280490,0,0,0,7,0,0,0,0,7,8,14420,"SE","Pacatuba"
280550,0,0,0,10,0,0,0,0,10,10,23740,"SE","Poço Verde"
280570,0,0,0,3,0,0,0,0,3,3,29834,"SE","Propriá"
280600,0,0,0,3,0,0,0,0,3,3,18641,"SE","Ribeirópolis"
280610,0,0,0,2,0,0,0,0,2,2,10699,"SE","Rosário do Catete"
280620,0,0,0,4,0,0,0,0,4,4,20168,"SE","Salgado"
280650,0,0,0,1,0,0,0,0,1,1,3938,"SE","Santa Rosa de Lima"
280660,0,0,0,0,0,0,0,0,0,1,12146,"SE","Santo Amaro das Brotas"
280720,0,0,0,1,0,0,0,0,1,1,8851,"SE","Siriri"
290020,0,0,0,2,0,0,0,0,2,2,20189,"BA","Abaré"
290040,0,0,0,4,0,0,0,0,4,4,17508,"BA","Água Fria"
290060,0,0,0,4,0,0,0,0,4,4,4725,"BA","Aiquara"
290080,0,0,0,4,0,0,0,0,4,4,23376,"BA","Alcobaça"
290090,0,0,0,3,0,0,0,0,3,3,5985,"BA","Almadina"
290100,0,0,0,4,0,0,0,0,4,4,38259,"BA","Amargosa"
290110,0,0,0,3,0,0,0,0,3,3,26409,"BA","Amélia Rodrigues"
290120,0,0,0,3,0,0,0,0,3,3,19568,"BA","Anagé"
290130,0,0,0,3,0,0,0,0,3,3,13737,"BA","Andaraí"
290140,0,0,0,2,0,0,0,0,2,2,14690,"BA","Angical"
290160,0,0,0,8,0,0,0,0,8,8,19569,"BA","Antas"
290180,0,0,0,4,0,0,0,0,4,4,12072,"BA","Antônio Gonçalves"
290195,0,0,0,2,0,0,0,0,2,2,7730,"BA","Apuarema"
290200,0,0,0,4,0,0,0,0,4,4,13962,"BA","Aracatu"
290210,0,0,0,1,0,0,0,0,1,1,55935,"BA","Araci"
290220,0,0,0,2,0,0,0,0,2,2,11703,"BA","Aramari"
290225,0,0,0,5,0,0,0,0,5,5,11661,"BA","Arataca"
290230,0,0,0,1,0,0,0,0,1,1,9171,"BA","Aratuípe"
290240,0,0,0,2,0,0,0,0,2,2,12706,"BA","Aurelino Leal"
290250,0,0,0,2,0,0,0,0,2,2,14323,"BA","Baianópolis"
290265,0,0,0,3,0,0,0,0,3,3,13765,"BA","Banzaê"
290290,0,0,0,7,0,0,0,0,7,7,34121,"BA","Barra do Choça"
290310,0,0,0,3,0,0,0,0,3,3,6258,"BA","Barra do Rocha"
290320,0,0,0,7,0,0,0,0,7,7,157638,"BA","Barreiras"
290340,0,0,0,2,0,0,0,0,2,2,24013,"BA","Belmonte"
290360,0,0,0,4,0,0,0,0,4,4,16653,"BA","Biritinga"
290370,0,0,0,2,0,0,0,0,2,2,14069,"BA","Boa Nova"
290380,0,0,0,7,0,0,0,0,7,7,19502,"BA","Boa Vista do Tupim"
290400,0,0,0,2,0,0,0,0,2,2,14760,"BA","Boninal"
290405,0,0,0,2,0,0,0,0,2,2,17131,"BA","Bonito"
290430,0,0,0,2,0,0,0,0,2,2,15122,"BA","Brejões"
