"ibgeCode",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","population","stateLettersCode","municipalityName"
210530,0,0,0,0,0,0,0,0,0,2,254569,"MA","Imperatriz"
210540,0,0,0,0,0,0,0,0,0,110,67726,"MA","Itapecuru Mirim"
210660,0,0,0,0,0,0,0,0,0,7,33374,"MA","Matões"
210690,0,0,0,0,0,0,0,0,0,1,33156,"MA","Monção"
210770,0,0,0,0,0,0,0,0,0,5,21116,"MA","Paraibano"
210800,0,0,0,0,0,0,0,0,0,13,19271,"MA","Pastos Bons"
210820,0,0,0,0,0,0,0,0,0,6,38365,"MA","Pedreiras"
210900,0,0,0,0,0,0,0,0,0,8,23760,"MA","Porto Franco"
210910,0,0,0,0,0,0,0,0,0,11,47239,"MA","Presidente Dutra"
210940,0,0,0,0,0,0,0,0,0,6,15207,"MA","Primeira Cruz"
210950,0,0,0,0,0,0,0,0,0,3,19701,"MA","Riachão"
211050,0,0,0,0,0,0,0,0,0,1,46039,"MA","São Bento"
211065,0,0,0,0,0,0,0,0,0,1,7291,"MA","São Domingos do Azeitão"
211070,0,0,0,0,0,0,0,0,0,7,33691,"MA","São Domingos do Maranhão"
211130,0,0,0,0,0,0,0,0,0,582,1091868,"MA","São Luís"
211153,0,0,0,0,0,0,0,0,0,8,12511,"MA","São Pedro da Água Branca"
211160,0,0,0,0,0,0,0,0,0,6,18680,"MA","São Raimundo das Mangabeiras"
211174,0,0,0,0,0,0,0,0,0,10,11042,"MA","Senador Alexandre Costa"
211240,0,0,0,0,0,0,0,0,0,3,35063,"MA","Turiaçu"
211270,0,0,0,0,0,0,0,0,0,16,56511,"MA","Vargem Grande"
211400,0,0,0,0,0,0,0,0,0,9,51084,"MA","Zé Doca"
220020,0,0,0,0,0,0,0,0,0,2,17119,"PI","Água Branca"
220115,0,0,0,0,0,0,0,0,0,2,11375,"PI","Baixa Grande do Ribeiro"
220190,0,0,0,3,0,0,0,0,3,3,24711,"PI","Bom Jesus"
220200,0,0,0,2,0,0,0,0,2,2,19464,"PI","Buriti dos Lopes"
220208,0,0,0,0,0,0,0,0,0,2,7510,"PI","Cajueiro da Praia"
220217,0,0,0,4,0,0,0,0,4,4,7154,"PI","Campo Largo do Piauí"
220230,0,0,0,2,0,0,0,0,2,2,20831,"PI","Canto do Buriti"
220255,0,0,0,3,0,0,0,0,3,3,4982,"PI","Caridade do Piauí"
220285,1,0,0,3,0,0,0,0,4,4,4608,"PI","Coronel José Dias"
220290,0,0,0,3,0,0,0,0,3,3,26205,"PI","Corrente"
220310,0,0,0,3,0,0,0,0,3,3,10253,"PI","Cristino Castro"
220327,0,0,0,3,0,0,0,0,3,3,5251,"PI","Curral Novo do Piauí"
220335,0,0,0,3,0,0,0,0,3,3,6896,"PI","Dirceu Arcoverde"
220390,0,0,0,4,0,0,0,0,4,4,58969,"PI","Floriano"
220415,0,0,0,3,0,0,0,0,3,3,3128,"PI","Francisco Macedo"
220430,0,0,0,3,0,0,0,0,3,7,11432,"PI","Fronteiras"
220450,0,0,0,1,0,0,0,0,1,5,10335,"PI","Guadalupe"
220465,0,0,0,2,0,0,0,0,2,2,9268,"PI","Ilha Grande"
220500,0,0,0,0,0,0,0,0,0,1,11343,"PI","Itainópolis"
220510,0,0,0,4,0,0,0,0,4,4,10845,"PI","Itaueira"
220520,0,0,0,4,0,0,0,0,4,4,18782,"PI","Jaicós"
220530,0,0,0,4,0,0,0,0,4,4,4384,"PI","Jerumenha"
220550,0,0,0,3,0,0,0,0,3,4,38550,"PI","José de Freitas"
220555,0,0,0,2,0,0,0,0,2,2,8395,"PI","Lagoa Alegre"
220556,0,0,0,0,0,0,0,0,0,1,4582,"PI","Lagoa do Barro do Piauí"
220570,0,0,0,2,0,0,0,0,2,2,29792,"PI","Luís Correia"
220620,0,0,0,3,0,0,0,0,3,3,33209,"PI","Miguel Alves"
220670,1,0,0,1,0,0,0,0,2,2,7231,"PI","Nazaré do Piauí"
220720,0,0,0,3,0,0,0,0,3,3,6758,"PI","Padre Marcos"
220777,0,0,0,4,0,0,0,0,4,4,6288,"PI","Patos do Piauí"
220780,0,0,0,4,0,4,0,0,8,8,20192,"PI","Paulistana"
220800,0,0,0,0,0,0,0,0,0,2,76928,"PI","Picos"
220840,0,0,0,4,0,0,0,0,4,4,62733,"PI","Piripiri"
220890,0,0,0,1,0,0,0,0,1,3,7214,"PI","Ribeiro Gonçalves"
220975,0,0,0,3,0,0,0,0,3,3,2988,"PI","São Gonçalo do Gurguéia"
220987,0,0,0,4,0,0,0,0,4,4,5938,"PI","São João da Fronteira"
221000,0,0,0,2,0,0,0,0,2,2,20258,"PI","São João do Piauí"
221030,0,0,0,3,0,0,0,0,3,7,6261,"PI","São Julião"
221035,0,0,0,3,0,0,0,0,3,3,4501,"PI","São Lourenço do Piauí"
221060,0,0,0,8,0,0,0,0,8,8,34109,"PI","São Raimundo Nonato"
221100,0,0,0,0,0,0,0,0,0,56,850198,"PI","Teresina"
221110,0,0,0,2,0,0,0,0,2,2,43761,"PI","União"
221120,0,0,0,1,0,0,0,0,1,5,21188,"PI","Uruçuí"
230010,0,0,0,0,0,0,0,0,0,4,11605,"CE","Abaiara"
230015,0,0,0,0,0,0,0,0,0,3,16543,"CE","Acarape"
230020,0,0,0,0,0,0,0,0,0,5,62199,"CE","Acaraú"
230030,0,0,0,0,0,0,0,0,0,4,53572,"CE","Acopiara"
230040,0,0,0,0,0,0,0,0,0,3,17194,"CE","Aiuaba"
230050,0,0,0,0,0,0,0,0,0,4,11459,"CE","Alcântaras"
230060,0,0,0,0,0,0,0,0,0,4,7479,"CE","Altaneira"
230070,0,0,0,0,0,0,0,0,0,3,16976,"CE","Alto Santo"
230075,0,0,0,0,0,0,0,0,0,5,42901,"CE","Amontada"
230080,0,0,0,0,0,0,0,0,0,3,7278,"CE","Antonina do Norte"
230090,0,0,0,0,0,0,0,0,0,4,14719,"CE","Apuiarés"
230100,0,0,0,0,0,0,0,0,0,4,79128,"CE","Aquiraz"
230110,0,0,0,0,0,0,0,0,0,4,73629,"CE","Aracati"
230120,0,0,0,0,0,0,0,0,0,3,26269,"CE","Aracoiaba"
230125,0,0,0,0,0,0,0,0,0,2,10823,"CE","Ararendá"
230130,0,0,0,0,0,0,0,0,0,4,21398,"CE","Araripe"
230140,0,0,0,0,0,0,0,0,0,2,11244,"CE","Aratuba"
230150,0,0,0,0,0,0,0,0,0,3,7777,"CE","Arneiroz"
230160,0,0,0,0,0,0,0,0,0,4,23254,"CE","Assaré"
230170,0,0,0,0,0,0,0,0,0,3,24496,"CE","Aurora"
230180,0,0,0,0,0,0,0,0,0,5,6228,"CE","Baixio"
230185,0,0,0,0,0,0,0,0,0,4,18027,"CE","Banabuiú"
230190,0,0,0,0,0,0,0,0,0,4,59811,"CE","Barbalha"
230195,0,0,0,0,0,0,0,0,0,4,20978,"CE","Barreira"
230200,0,0,0,0,0,0,0,0,0,5,22440,"CE","Barro"
230205,0,0,0,0,0,0,0,0,0,5,14880,"CE","Barroquinha"
230210,0,0,0,0,0,0,0,0,0,5,35351,"CE","Baturité"
230220,0,0,0,0,0,0,0,0,0,4,53110,"CE","Beberibe"
230230,0,0,0,0,0,0,0,0,0,5,32378,"CE","Bela Cruz"
230240,0,0,0,0,0,0,0,0,0,5,54049,"CE","Boa Viagem"
