ibgeCode,>2ppb,=2ppb,1ppb<x<2ppb,=1ppb,0.1ppb<x<1ppb,=0.1ppb,0ppb<x<0.1ppb,=0ppb,all Detections,all Measurements,Population,UF,name
210800,1,0,0,0,0,0,0,0,1,1,19271,MA,Pastos Bons
210820,1,0,0,0,0,0,0,0,1,1,38365,MA,Pedreiras
210900,1,0,0,0,0,0,0,0,1,1,23760,MA,Porto Franco
210910,1,0,0,0,0,0,0,0,1,1,47239,MA,Presidente Dutra
210940,1,0,0,0,0,0,0,0,1,1,15207,MA,Primeira Cruz
210950,1,0,0,0,0,0,0,0,1,1,19701,MA,Riachão
211050,1,0,0,0,0,0,0,0,1,1,46039,MA,São Bento
211065,1,0,0,0,0,0,0,0,1,1,7291,MA,São Domingos do Azeitão
211070,1,0,0,0,0,0,0,0,1,1,33691,MA,São Domingos do Maranhão
211130,1,0,0,0,0,0,0,0,1,1,1091868,MA,São Luís
211153,1,0,0,0,0,0,0,0,1,1,12511,MA,São Pedro da Água Branca
211160,1,0,0,0,0,0,0,0,1,1,18680,MA,São Raimundo das Mangabeiras
211174,1,0,0,0,0,0,0,0,1,1,11042,MA,Senador Alexandre Costa
211240,1,0,0,0,0,0,0,0,1,1,35063,MA,Turiaçu
211270,1,0,0,0,0,0,0,0,1,1,56511,MA,Vargem Grande
211400,1,0,0,0,0,0,0,0,1,1,51084,MA,Zé Doca
220020,1,0,0,0,0,0,0,0,1,1,17119,PI,Água Branca
220115,1,0,0,0,0,0,0,0,1,1,11375,PI,Baixa Grande do Ribeiro
220190,1,0,3,0,0,0,0,0,1,1,24711,PI,Bom Jesus
220200,1,0,2,0,0,0,0,0,1,1,19464,PI,Buriti dos Lopes
220208,1,0,0,0,0,0,0,0,1,1,7510,PI,Cajueiro da Praia
220217,1,0,4,0,0,0,0,0,1,1,7154,PI,Campo Largo do Piauí
220230,1,0,2,0,0,0,0,0,1,1,20831,PI,Canto do Buriti
220255,1,0,3,0,0,0,0,0,1,1,4982,PI,Caridade do Piauí
220285,1,0,3,0,0,0,0,0,1,1,4608,PI,Coronel José Dias
220290,1,0,3,0,0,0,0,0,1,1,26205,PI,Corrente
220310,1,0,3,0,0,0,0,0,1,1,10253,PI,Cristino Castro
220327,1,0,3,0,0,0,0,0,1,1,5251,PI,Curral Novo do Piauí
220335,1,0,3,0,0,0,0,0,1,1,6896,PI,Dirceu Arcoverde
220390,1,0,4,0,0,0,0,0,1,1,58969,PI,Floriano
220415,1,0,3,0,0,0,0,0,1,1,3128,PI,Francisco Macedo
220430,1,0,3,0,0,0,0,0,1,1,11432,PI,Fronteiras
220450,1,0,1,0,0,0,0,0,1,1,10335,PI,Guadalupe
220465,1,0,2,0,0,0,0,0,1,1,9268,PI,Ilha Grande
220500,1,0,0,0,0,0,0,0,1,1,11343,PI,Itainópolis
220510,1,0,4,0,0,0,0,0,1,1,10845,PI,Itaueira
220520,1,0,4,0,0,0,0,0,1,1,18782,PI,Jaicós
220530,1,0,4,0,0,0,0,0,1,1,4384,PI,Jerumenha
220550,1,0,3,0,0,0,0,0,1,1,38550,PI,José de Freitas
220555,1,0,2,0,0,0,0,0,1,1,8395,PI,Lagoa Alegre
220556,1,0,0,0,0,0,0,0,1,1,4582,PI,Lagoa do Barro do Piauí
220570,1,0,2,0,0,0,0,0,1,1,29792,PI,Luís Correia
220620,1,0,3,0,0,0,0,0,1,1,33209,PI,Miguel Alves
220670,1,0,1,0,0,0,0,0,1,1,7231,PI,Nazaré do Piauí
220720,1,0,3,0,0,0,0,0,1,1,6758,PI,Padre Marcos
220777,1,0,4,0,0,0,0,0,1,1,6288,PI,Patos do Piauí
220780,1,0,8,0,0,0,0,0,1,1,20192,PI,Paulistana
220800,1,0,0,0,0,0,0,0,1,1,76928,PI,Picos
220840,1,0,4,0,0,0,0,0,1,1,62733,PI,Piripiri
220890,1,0,1,0,0,0,0,0,1,1,7214,PI,Ribeiro Gonçalves
220975,1,0,3,0,0,0,0,0,1,1,2988,PI,São Gonçalo do Gurguéia
220987,1,0,4,0,0,0,0,0,1,1,5938,PI,São João da Fronteira
221000,1,0,2,0,0,0,0,0,1,1,20258,PI,São João do Piauí
221030,1,0,3,0,0,0,0,0,1,1,6261,PI,São Julião
221035,1,0,3,0,0,0,0,0,1,1,4501,PI,São Lourenço do Piauí
221060,1,0,8,0,0,0,0,0,1,1,34109,PI,São Raimundo Nonato
221100,1,0,0,0,0,0,0,0,1,1,850198,PI,Teresina
221110,1,0,2,0,0,0,0,0,1,1,43761,PI,União
221120,1,0,1,0,0,0,0,0,1,1,21188,PI,Uruçuí
230010,1,0,0,0,0,0,0,0,1,1,11605,CE,Abaiara
230015,1,0,0,0,0,0,0,0,1,1,16543,CE,Acarape
230020,1,0,0,0,0,0,0,0,1,1,62199,CE,Acaraú
230030,1,0,0,0,0,0,0,0,1,1,53572,CE,Acopiara
230040,1,0,0,0,0,0,0,0,1,1,17194,CE,Aiuaba
230050,1,0,0,0,0,0,0,0,1,1,11459,CE,Alcântaras
230060,1,0,0,0,0,0,0,0,1,1,7479,CE,Altaneira
230070,1,0,0,0,0,0,0,0,1,1,16976,CE,Alto Santo
230075,1,0,0,0,0,0,0,0,1,1,42901,CE,Amontada
230080,1,0,0,0,0,0,0,0,1,1,7278,CE,Antonina do Norte
230090,1,0,0,0,0,0,0,0,1,1,14719,CE,Apuiarés
230100,1,0,0,0,0,0,0,0,1,1,79128,CE,Aquiraz
230110,1,0,0,0,0,0,0,0,1,1,73629,CE,Aracati
230120,1,0,0,0,0,0,0,0,1,1,26269,CE,Aracoiaba
230125,1,0,0,0,0,0,0,0,1,1,10823,CE,Ararendá
230130,1,0,0,0,0,0,0,0,1,1,21398,CE,Araripe
230140,1,0,0,0,0,0,0,0,1,1,11244,CE,Aratuba
230150,1,0,0,0,0,0,0,0,1,1,7777,CE,Arneiroz
230160,1,0,0,0,0,0,0,0,1,1,23254,CE,Assaré
230170,1,0,0,0,0,0,0,0,1,1,24496,CE,Aurora
