"ibgeCode",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","population","stateLettersCode","municipalityName"
291370,0,1,0,0,0,0,0,0,1,1,40453,"BA","Inhambupe"
291390,0,1,0,0,0,0,0,0,1,1,47704,"BA","Ipiaú"
291400,0,1,0,0,0,0,0,0,1,1,62631,"BA","Ipirá"
291410,0,1,0,0,0,0,0,0,1,1,10157,"BA","Ipupiara"
291430,0,1,0,0,0,0,0,0,1,1,9901,"BA","Iramaia"
291440,0,1,0,0,0,0,0,0,1,1,25536,"BA","Iraquara"
291450,0,1,0,0,0,0,0,0,1,1,29879,"BA","Irará"
291465,0,1,0,0,0,0,0,0,1,1,31422,"BA","Itabela"
291470,0,1,0,0,0,0,0,0,1,1,66806,"BA","Itaberaba"
291490,0,1,0,0,0,0,0,0,1,1,28382,"BA","Itacaré"
291500,0,1,0,0,0,0,0,0,1,1,16586,"BA","Itaeté"
291510,0,1,0,0,0,0,0,0,1,1,13199,"BA","Itagi"
291520,0,1,0,0,0,0,0,0,1,1,15577,"BA","Itagibá"
291530,0,1,0,0,0,0,0,0,1,1,7291,"BA","Itagimirim"
291535,0,1,0,0,0,0,0,0,1,1,14718,"BA","Itaguaçu da Bahia"
291540,0,1,0,0,0,0,0,0,1,1,7218,"BA","Itaju do Colônia"
291560,0,1,0,0,0,0,0,0,1,1,67356,"BA","Itamaraju"
291570,0,1,0,0,0,0,0,0,1,1,8476,"BA","Itamari"
291580,0,1,0,0,0,0,0,0,1,1,24901,"BA","Itambé"
291590,0,1,0,0,0,0,0,0,1,1,6730,"BA","Itanagra"
291600,0,1,0,0,0,0,0,0,1,1,20501,"BA","Itanhém"
291610,0,1,0,0,0,0,0,0,1,1,22866,"BA","Itaparica"
291620,0,1,0,0,0,0,0,0,1,1,9830,"BA","Itapé"
291630,0,1,0,0,0,0,0,0,1,1,10830,"BA","Itapebi"
291640,0,0,0,0,0,1,0,0,1,1,77533,"BA","Itapetinga"
291650,0,1,0,0,0,0,0,0,1,1,36211,"BA","Itapicuru"
291660,0,1,0,0,0,0,0,0,1,1,10799,"BA","Itapitanga"
291680,0,1,0,0,0,0,0,0,1,1,20314,"BA","Itarantim"
291700,0,1,0,0,0,0,0,0,1,1,37567,"BA","Itiúba"
291720,0,1,0,0,0,0,0,0,1,1,19577,"BA","Ituaçu"
291730,0,1,0,0,0,0,0,0,1,1,29428,"BA","Ituberá"
291740,0,1,0,0,0,0,0,0,1,1,15459,"BA","Jacaraci"
291750,0,1,0,0,0,0,0,0,1,1,83635,"BA","Jacobina"
291760,0,1,0,0,0,0,0,0,1,1,56033,"BA","Jaguaquara"
291770,0,1,0,0,0,0,0,0,1,1,34499,"BA","Jaguarari"
291780,0,1,0,0,0,0,0,0,1,1,19036,"BA","Jaguaripe"
291790,0,1,0,0,0,0,0,0,1,1,11120,"BA","Jandaíra"
291810,0,1,0,0,0,0,0,0,1,1,41605,"BA","Jeremoabo"
291820,0,1,0,0,0,0,0,0,1,1,15106,"BA","Jiquiriçá"
291830,0,1,0,0,0,0,0,0,1,1,12692,"BA","Jitaúna"
291845,0,1,0,0,0,0,0,0,1,1,9924,"BA","Jucuruçu"
291860,0,1,0,0,0,0,0,0,1,1,7066,"BA","Jussiape"
291870,0,1,0,0,0,0,0,0,1,1,3975,"BA","Lafaiete Coutinho"
291875,0,1,0,0,0,0,0,0,1,1,16029,"BA","Lagoa Real"
291880,0,1,0,0,0,0,0,0,1,1,24306,"BA","Laje"
291890,0,1,0,0,0,0,0,0,1,1,4068,"BA","Lajedão"
291900,0,1,0,0,0,0,0,0,1,1,4017,"BA","Lajedinho"
291905,0,1,0,0,0,0,0,0,1,1,8886,"BA","Lajedo do Tabocal"
291910,0,1,0,0,0,0,0,0,1,1,9007,"BA","Lamarão"
291930,0,1,0,0,0,0,0,0,1,1,11636,"BA","Lençóis"
291940,0,1,0,0,0,0,0,0,1,1,12969,"BA","Licínio de Almeida"
291950,0,1,0,0,0,0,0,0,1,1,46739,"BA","Livramento de Nossa Senhora"
291955,0,1,0,0,0,0,0,0,1,1,83557,"BA","Luís Eduardo Magalhães"
291970,0,0,1,0,0,0,0,0,1,1,19110,"BA","Macarani"
291980,0,1,0,0,0,0,0,0,1,1,50987,"BA","Macaúbas"
291995,0,1,0,0,0,0,0,0,1,1,4456,"BA","Maetinga"
292000,0,1,0,0,0,0,0,0,1,1,10274,"BA","Maiquinique"
292010,0,1,0,0,0,0,0,0,1,1,19695,"BA","Mairi"
292020,0,1,0,0,0,0,0,0,1,1,17526,"BA","Malhada"
